accepted,years,Teff_K,luminosity_Lsun,radius_Rsun,nuclear_fraction
0,0,2864.0960489129425,0.15403182071720958,1.5939813254112654,0.0007558030511544648
1,1000,2864.392124777161,0.15356322720110438,1.5912258815148916,0.0007798795872786473
2,2500,2864.831201409602,0.15286810143221113,1.587133727546777,0.0008171292099248881
3,4200.479675916253,2865.3273981676007,0.1520908702496728,1.582545583650129,0.000861113175406924
4,5917.151567777043,2865.820948787588,0.15131579243138607,1.5779643352576547,0.0009075122775430808
5,7647.384434666135,2866.3142267749017,0.15054478324788895,1.5733973619875,0.000956376643219379
6,9391.32860753844,2866.8094456733506,0.1497782654009205,1.5688445224806569,0.0010078334430356631
7,11149.468173543777,2867.300765819124,0.1490148029208781,1.5643047565176078,0.0010620385540229726
8,12921.409747240716,2867.7920627558074,0.14825544636784188,1.5597793716504391,0.001119114391610527
9,14707.369651736471,2868.284364999312,0.1475003311342943,1.5552680392942915,0.001179212460673164
10,16507.855518334865,2868.7736796314643,0.14674843829523163,1.550769781114265,0.001242511249900579
11,18322.491301557424,2869.262483120023,0.14600048405555802,1.5462857341466003,0.0013091561391226328
12,20151.504015473245,2869.751272097767,0.14525650148976502,1.5418156041963476,0.0013793243619201674
13,21995.312078325278,2870.238340346015,0.14451599278685043,1.5373586417224343,0.0014532150069452262
14,23853.66975672153,2870.724410142363,0.1437792589778676,1.532915716764035,0.0015310055079516731
15,25726.824126891835,2871.209169783217,0.14304615381126182,1.5284864348127327,0.001612904632806054
16,27614.981091556143,2871.693075536886,0.14231671763913148,1.524070574934045,0.0016991289779094607
17,29518.027294899995,2872.1760593282634,0.14159102504428148,1.519668663150205,0.0017898918977275462
18,31436.292656647245,2872.6559648458588,0.1408685512265847,1.5152802080398577,0.0018854441679645557
19,33369.85258702663,2873.136013071117,0.1401499330541289,1.510905272035801,0.0019860232807610723
20,35318.63673717948,2873.6157586902596,0.1394351449735894,1.5065442557463167,0.0020918787702565817
21,37283.13260098533,2874.0904391766926,0.1387231031895161,1.5021963366080582,0.0022033179701998213
