mass_g,radius_cm,density_g_cm3,temperature_K,luminosity_erg_s,X,Y3,Y4
2.4430292949541203e+22,2644327.12645004,315.4238475089344,8473736.67310107,7.987216892949518e+21,0.14909958580128232,0.00022281627700828784,0.8306775979217103
2.5204474191202895e+22,2671969.5373669774,315.4238454329836,8473736.645647185,8.240326974455461e+21,0.14909958624956482,0.00022281628293538408,0.8306775974675007
2.7622629821813096e+22,2754824.6675328836,315.42383907685115,8473736.56158905,9.030916457823656e+21,0.14909958762211228,0.00022281630108292815,0.8306775960768057
3.1983892671260044e+22,2892784.3633778817,315.4238280494588,8473736.415754762,1.0456783452009623e+22,0.14909959000337497,0.0002228163325675023,0.8306775936640585
3.882051881116533e+22,3085740.47172117,315.4238116981959,8473736.199513692,1.2691943042535486e+22,0.14909959353427782,0.00022281637925239818,0.8306775900864707
4.894605644656141e+22,3333584.8397714295,315.4237891134599,8473735.900836607,1.6002375487840957e+22,0.14909959841124082,0.00022281644373466062,0.8306775851450253
6.3522829443148005e+22,3636209.315180277,315.4237591329331,8473735.504352113,2.0768089048090304e+22,0.14909960488525498,0.00022281652933288035,0.830677578585413
8.414846493842874e+22,3993505.7461533067,315.42372034510595,8473734.991393352,2.7511408947819564e+22,0.14909961326112234,0.00022281664007712246,0.8306775700988014
1.1296119602379747e+23,4405365.981607713,315.42367109197335,8473734.340033624,3.693140445460497e+22,0.14909962389687262,0.0002228167807012623,0.830677559322427
1.527636718950166e+23,4871681.871362486,315.42360947101963,8473733.52511257,4.994436648776147e+22,0.1490996372033346,0.00022281695663731207,0.830677545840029
2.07165009196495e+23,5392345.26635187,315.423533336746,8473732.518256515,6.7730248567534414e+22,0.14909965364380554,0.00022281717401106025,0.8306775291821843
2.8074081959197022e+23,5967248.018858051,315.4234403019718,8473731.287895497,9.178498429510126e+22,0.1490996737337709,0.00022281743963839689,0.8306775088265916
3.7921094991097534e+23,6596281.982762432,315.4233277390439,8473729.799279312,1.23978594925544e+23,0.14909969804064255,0.0002228177610218771,0.8306774841983365
5.096346725478653e+23,7279339.013816832,315.4231927810381,8473728.014493447,1.6661900095885426e+23,0.14909972718349776,0.00022281814634729854,0.8306774546701559
6.806230651176828e+23,8016310.969935095,315.42303232303755,8473725.892475896,2.2252145202334184e+23,0.14909976183280368,0.00022281860448010316,0.830677419562717
9.025683196903792e+23,8807089.711506553,315.4228430234528,8473723.389034607,2.9508348965696895e+23,0.14909980271012974,0.00022281914496163983,0.8306773781449094
1.1878897232249457e+24,9651567.101731263,315.4226213054157,8473720.456865901,3.883653579017528e+23,0.14909985058784792,0.0002228197780052357,0.8306773296341478
