mass_g,radius_cm,density_g_cm3,temperature_K,luminosity_erg_s,X,Y3,Y4
6.920644037746113e+26,44158042.4786902,1918.43213051723,10633650.673534071,1.8325004836638283e+25,0.007227645999616976,6.428044169359418e-07,0.9727717111959667
8.515150873946363e+26,47318519.31486722,1918.2987669004017,10633579.662333334,2.254948941939134e+25,0.0072287291529164795,6.430411338287737e-07,0.9727706278059504
1.040402266584277e+27,50587221.204851784,1918.1511942285288,10633501.0743249,2.7554810012403434e+25,0.007229928004066853,6.433031914258673e-07,0.9727694286927424
1.2628782236095277e+27,53963685.32225848,1917.9884646276732,10633414.401270155,3.3451430289184503e+25,0.007231250346092542,6.435923107315976e-07,0.9727681060615974
1.523507527009758e+27,57447450.081839874,1917.8096045872112,10633319.120602526,4.03608747108947e+25,0.007232704205235165,6.439102668482644e-07,0.9727666518844986
1.8272910847434392e+27,61038055.212615505,1917.6136155702588,10633214.69562393,4.841639657520463e+25,0.007234297814318949,6.442588849971647e-07,0.9727650579267967
2.1796905512550445e+27,64735041.8322751,1917.3994744659176,10633100.575695455,5.7763660606151325e+25,0.007236039645186167,6.446400462390031e-07,0.9727633157147683
2.58665305910036e+27,68537952.52280027,1917.1661341983884,10632976.19642164,6.856143991065132e+25,0.00723793838619327,6.450556842822002e-07,0.9727614165581231
3.054636245750008e+27,72446331.40719534,1916.9125242408988,10632840.979828434,8.098232725624111e+25,0.007240002956184255,6.455077883097223e-07,0.9727593515360281
3.5906335461614393e+27,76459724.22721401,1916.6375512852176,10632694.33453455,9.521346052794443e+25,0.007242242464207258,6.459983970003934e-07,0.9727571115373964
4.2021997216700905e+27,80577678.42212678,1916.3400996573587,10632535.655916033,1.114572624455433e+26,0.007244666263416338,6.46529608014208e-07,0.9727546872069763
4.8974765957016e+27,84799743.20852955,1916.0190319510634,10632364.326263743,1.2993219466253838e+26,0.007247283928414514,6.47103575036321e-07,0.972752068968011
5.685218966746941e+27,89125469.66086137,1915.673189709178,10632179.714933276,1.50873526130114e+26,0.007250105217703516,6.477225024466668e-07,0.9727492470597947
6.574820668977767e+27,93554410.79288082,1915.3013937939934,10631981.178487657,1.7453411610947287e+26,0.007253140151396244,6.483886589376007e-07,0.9727462114599454
7.576340750802076e+27,98086121.63986403,1914.902445239777,10631768.060832134,2.011852118893217e+26,0.007256398916876036,6.491043630398257e-07,0.9727429519787616
8.700529741583167e+27,102720159.34156276,1914.4751255697258,10631539.69334107,2.3111726176699534e+26,0.007259891971334835,6.49872000984045e-07,0.9727394581566648
9.958855976653901e+27,107456083.22587588,1914.0181976499093,10631295.394976487,2.6464074326361995e+26,0.007263629952562532,6.506940132293846e-07,0.9727357193534248
1.1363531950671226e+28,112293454.89301091,1913.530406175596,10631034.472398123,3.020870071275555e+26,0.007267623725983474,6.51572903413502e-07,0.9727317247011138
1.2927540669257695e+28,117231838.30037245,1913.0104783061654,10630756.220065307,3.4380913787036315e+26,0.0072718843808988,6.52511239077334e-07,0.9727274631078628
1.4664661968779623e+28,122270799.8479464,1912.4571243147923,10630459.920329373,3.9018283089760106e+26,0.007276423224565352,6.53511652132182e-07,0.9727229232637832
1.6589498774011562e+28,127409908.4641879,1911.8690382060972,10630144.843517266,4.416072871917105e+26,0.007281251791141676,6.545768418750299e-07,0.9727180936320171
1.871750326333491e+28,132648735.69237198,1911.2448983792951,10629810.248005992,4.985061259892503e+26,0.007286381837519408,6.557095759586127e-07,0.9727129624529053
2.1065002911020827e+28,137986855.77743813,1910.5833682149205,10629455.380287105,5.6132831646380325e+26,0.007291825370322444,6.569126966137334e-07,0.9727075177169816
2.364922637604095e+28,143423845.75301856,1909.8830969521393,10629079.475022124,6.30549128918236e+26,0.007297594570911697,6.581891101717497e-07,0.9727017472399787
2.6488329206761215e+28,148959285.52902806,1909.1427199986924,10628681.755087342,7.066711063434782e+26,0.007303701930063971,6.595418112996182e-07,0.9726956385281254
2.9601419330771462e+28,154592757.97957572,1908.3608599722793,10628261.431608979,7.90225057966545e+26,0.007310160120655262,6.609738641414181e-07,0.9726891789054813
3.3008582299018117e+28,160323849.0309382,1907.53612719002,10627817.703987783,8.817710746948184e+26,0.007316982074560491,6.624884172964917e-07,0.9726823554370229
3.673090625332577e+28,166152147.75002465,1906.6671204155552,10627349.759913268,9.818995682956876e+26,0.0073241809698053216,6.640887041334145e-07,0.9726751549414911
4.079050658630383e+28,172077246.43299833,1905.7524275681437,10626856.775367144,1.0912323358446884e+27,0.007331770235381523,6.657780461707563e-07,0.972667563986573
4.521055026258187e+28,178098740.6941164,1904.7906264415017,10626337.914615747,1.2104236495570063e+27,0.007339763556455177,6.675598566820815e-07,0.9726595688836888
5.0015279770241645e+28,184216229.55490333,1903.7802853387964,10625792.330191433,1.3401613750248435e+27,0.007348174914140356,6.694376502262609e-07,0.9726511556482101
5.523003667126765e+28,190429315.5330707,1902.7199641715463,10625219.162862552,1.4811681168202547e+27,0.00735701846026719,6.714150248740983e-07,0.9726423101247086
6.088128471980007e+28,196737604.73217818,1901.60821447566,10624617.541592058,1.6342023961191252e+27,0.007366308790898413,6.734957110502531e-07,0.9726330177133912
6.699663251694583e+28,203140706.93074462,1900.44358132462,10623986.583484393,1.8000598584934913e+27,0.007376060532276225,6.75683505905276e-07,0.9726232637842185
7.360485567087952e+28,209638235.67164662,1899.2246028328482,10623325.393721059,1.979574514581213e+27,0.007386288809788025,6.779823552483584e-07,0.9726130332078574
8.073591843098691e+28,216229808.3529064,1897.9498114353814,10622633.065483231,2.173620023294339e+27,0.00739700907349444,6.80396328401154e-07,0.9726023105301779
8.842099476479206e+28,222915046.31680515,1896.6177352153222,10621908.67986184,2.3831110048240393e+27,0.007408236909801843,6.829295906385661e-07,0.9725910801606081
9.669248884646493e+28,229693574.938786,1895.2268983259708,10621151.305756848,2.609004388586415e+27,0.007419988187938045,6.855864319340829e-07,0.9725793262256306
1.0558405492574427e+29,236565023.7186972,1893.7758208813752,10620359.999763278,2.852300816580969e+27,0.007432279405938523,6.88371329915599e-07,0.9725670322227322
1.1513061654618266e+29,243529026.37084267,1892.2630214036228,10619533.806043612,3.114046083867217e+27,0.007445127105282978,6.912888560918122e-07,0.9725541816058616
1.2536838508171413e+29,250585220.9124102,1890.6870169568729,10618671.756188529,3.3953326129756907e+27,0.007458548135774023,6.943437253710704e-07,0.9725407575205012
1.3633487756063507e+29,257733249.75484464,1889.0463230908251,10617772.869064532,3.6973009965638944e+27,0.007472560068065225,6.975408715106866e-07,0.972526742391064
1.4806893374626287e+29,264972759.79361495,1887.3394564891798,10616836.1506471,4.021141584107295e+27,0.0074871804917781256,7.00885333835431e-07,0.9725121186228887
1.6061073244364e+29,272303402.49829996,1885.5649338834753,10615860.593839988,4.368096118151252e+27,0.007502427638729924,7.043823690709236e-07,0.9724968679789018
1.7400180700187888e+29,279724834.0023803,1883.7212750464523,10614845.178282835,4.7394594184094663e+27,0.0075183196984530045,7.080373408880659e-07,0.9724809722642069
1.8828505998191726e+29,287236715.1934471,1881.8070013576069,10613788.870145515,5.136581132870093e+27,0.00753487568215382,7.118558740759261e-07,0.9724644124619729
2.035047769596833e+29,294838711.80508506,1879.8206381801335,10612690.621907873,5.560867563779117e+27,0.007552114889923341,7.158437706963999e-07,0.9724471692663067
2.1970663943496248e+29,302530494.5076146,1877.7607148878017,10611549.372123068,6.013783551468972e+27,0.007570057246655875,7.200070752716813e-07,0.9724292227462696
2.3693773681651014e+29,310311738.99665993,1875.6257677541494,10610364.045168977,6.496854403907347e+27,0.0075887225862465634,7.243519589940956e-07,0.9724105530617952
2.552465774542662e+29,318182126.0847936,1873.4143374125238,10609133.550985597,7.011667922825179e+27,0.00760813194371098,7.288849513096298e-07,0.9723911391713385
2.7468309868990304e+29,326141341.79197496,1871.1249738636989,10607856.784797596,7.559876496327434e+27,0.007628306064419457,7.336126904879953e-07,0.9723709603228908
2.952986758973069e+29,334189077.4366706,1868.7562330544652,10606532.626821931,8.143199274197185e+27,0.007649267032660557,7.385422157977221e-07,0.9723499944251244
3.171461304849509e+29,342325029.72907954,1866.3066812313896,10605159.941957887,8.763424452772606e+27,0.007671037029131395,7.436807613651529e-07,0.9723282192901079
3.402797368326387e+29,350548900.8556927,1863.7748965833853,10603737.579466822,9.422411534531184e+27,0.007693638091001836,7.490357228643792e-07,0.972305612873276
3.647552281354863e+29,358860398.57585555,1861.1594640200617,10602264.372637779,1.0122093823993402e+28,0.0077170944283700554,7.546150761269053e-07,0.9722821509565546
3.906298011286046e+29,367259236.31128806,1858.4589856131831,10600739.138434159,1.086448093039661e+28,0.00774142892535833,7.604267721743488e-07,0.9722578106478702
4.179621196663723e+29,375745133.30796164,1855.672039757631,10599160.677112788,1.1651661540388669e+28,0.0077666670877662766,7.664794488958901e-07,0.9722325664327854
4.468123171308721e+29,384317814.6965693,1852.7972694173832,10597527.771844896,1.2485805856499892e+28,0.007792832930063779,7.727817094950027e-07,0.9722063942882273
4.772419976445972e+29,392977011.4772966,1849.833328887347,10595839.188345173,1.336916842430206e+28,0.007819953396567148,7.793429263480687e-07,0.9721792672605072
5.093142360632188e+29,401722460.64633685,1846.7788771622559,10594093.67445008,1.4304091441129104e+28,0.007848054303151494,7.861725313364789e-07,0.9721511595243179
5.430935767248459e+29,410553905.3143277,1843.6325902559167,10592289.959681045,1.5293007465355874e+28,0.007877162149599512,7.932803519212272e-07,0.9721220445700491
5.7864603093301474e+29,419471094.81154627,1840.3931567259162,10590426.754802685,1.6338442821309364e+28,0.00790730620730773,8.006770073379175e-07,0.9720918931156856
6.160390731512181e+29,428473784.7803928,1837.0592896583082,10588502.751352098,1.7443020923733015e+28,0.007938514435191541,8.083731858118086e-07,0.9720606771916233
6.553416358878369e+29,437561737.2594973,1833.6297202908913,10586516.62116277,1.8609465553442296e+28,0.007970816280760412,8.163801689430711e-07,0.9720283673390713
6.966241032508658e+29,446734720.7815958,1830.1032008858106,10584467.015876995,1.984060452090219e+28,0.00800424201805238,8.24709730874635e-07,0.9719949332722174
7.3995830315296e+29,455992510.46732664,1826.478505701294,10582352.56643773,2.1139373397973543e+28,0.008038822779996185,8.333741640145172e-07,0.9719603438458404
7.85417498148038e+29,465334888.121292,1822.7544313199637,10580171.882564075,2.250881939473991e+28,0.00807459059209348,8.423863061815396e-07,0.971924567021601
8.33076374881696e+29,474761642.3279145,1818.9297986090448,10577923.55221148,2.3952105384678763e+28,0.008111578384649452,8.517595648215125e-07,0.9718875698557864
8.830110321386638e+29,484272568.5452184,1815.0034538098923,10575606.141017064,2.5472514087264197e+28,0.008149820011928795,8.615079437136224e-07,0.9718493184801281
9.352989674715525e+29,493867469.20009005,1810.9742690968358,10573218.191729257,2.7073452436926856e+28,0.008189350412674384,8.716460977760869e-07,0.9718097779412285
9.90019062396085e+29,503546153.79205203,1806.841141013435,10570758.22361137,2.8758456340934447e+28,0.00823020664200501,8.821895567257483e-07,0.9717689111684389
1.0472515661392606e+30,513308438.9745668,1802.6030028105101,10568224.731838778,3.05311949943724e+28,0.008272423590082383,8.931539349708289e-07,0.9717266832559833
1.1070780779279737e+30,523154148.659656,1798.258805576162,10565616.186888484,3.239547598348261e+28,0.008316041624587215,9.045564209106364e-07,0.9716830538189926
1.169581527806479e+30,533083114.1232551,1793.8075391361613,10562931.033895051,3.435525062079664e+28,0.008361099029832267,9.164143604962402e-07,0.9716379845558079
1.2348461559729258e+30,543095174.0876929,1789.2482218229784,10560167.692001317,3.6414618776916846e+28,0.008407636347778387,9.287461207926471e-07,0.9715914349061014
1.302957490625569e+30,553190174.8282014,1784.579904194253,10557324.55370399,3.8577834594033896e+28,0.008455695381934634,9.415709337615962e-07,0.9715433630471323
1.374002324311455e+30,563367970.2728432,1779.8016699933612,10554399.984175496,4.084931219749258e+28,0.008505319252946683,9.549089431861815e-07,0.9714937258381108
1.4480686887706434e+30,573628422.1040665,1774.9126368685907,10551392.320570868,4.323363165383707e+28,0.00855655254491114,9.687812718678048e-07,0.9714424786738176
1.525245828271403e+30,583971399.8692316,1769.911954812003,10548299.87130845,4.573554545980359e+28,0.008609442338986386,9.83210270617016e-07,0.9713895744507436
1.6056241714323665e+30,594396781.0652249,1764.7988189921084,10545120.915350098,4.835998427357213e+28,0.00866403357639359,9.982186273060463e-07,0.9713349682049798
1.6892953015293228e+30,604904451.2573391,1759.572447357415,10541853.70149592,5.111206390391567e+28,0.008720377761425549,1.0138311642536145e-06,0.9712786084074109
1.7763519252859432e+30,615494304.1913722,1754.2321077020792,10538496.447683716,5.399709252980353e+28,0.008778524104147728,1.0300730981671847e-06,0.9712204458227548
1.8668878401486942e+30,626166241.8715192,1748.7771043104763,10535047.34023092,5.70205770474628e+28,0.008838524698727417,1.0469711351050057e-06,0.9711604283301382
1.9609979000481348e+30,636920174.6682386,1743.2067834795566,10531504.533039114,6.018823053817116e+28,0.008900432547042458,1.0645531188913263e-06,0.9710985028998393
2.058777979650074e+30,647756021.4408603,1737.5205254015927,10527866.146811824,6.350598052249785e+28,0.008964305158297893,1.082848838709397e-06,0.971034611992864
2.1603249371014088e+30,658673709.6529121,1731.7177569479177,10524130.268239481,6.697997719418771e+28,0.009030199893516722,1.1018891206015949e-06,0.9709686982173633
2.2657365752776655e+30,669673175.4597622,1725.7979499911085,10520294.949199783,7.061660055537228e+28,0.009098174980813648,1.1217060897437698e-06,0.9709007033130972
2.375111601539705e+30,680754363.828935,1719.7606147610277,10516358.20597215,7.442246912358914e+28,0.009168292525829413,1.1423338764380307e-06,0.9708305651402948
2.4885495860099373e+30,691917228.663908,1713.605307643615,10512318.018427059,7.840444903899908e+28,0.009240615773834185,1.163808104302488e-06,0.9707582204180621
2.606150918379035e+30,703161732.921454,1707.3316275835211,10508172.329202276,8.256966303851841e+28,0.009315210903841685,1.186166348341149e-06,0.9706836029298106
2.728016763256109e+30,714487848.7172165,1700.9392254409343,10503919.0428841,8.692549952266437e+28,0.009392145024055054,1.209447773084687e-06,0.9706066455281726
2.8542490140769895e+30,725895557.4234383,1694.4277990251649,10499556.025199803,9.147962186342122e+28,0.009471488173637148,1.233693648019193e-06,0.9705272781327154
2.984950245586949e+30,737384849.8044049,1687.7970887145386,10495081.102197113,9.6239978915624e+28,0.009553313562044008,1.2589474921773901e-06,0.9704454274904644
3.1202236649154005e+30,748955726.143959,1681.0468863362694,10490492.05941718,1.0121481485309696e+29,0.009637695399230631,1.2852546755028473e-06,0.9703610193460944
3.26017306126248e+30,760608196.3719684,1674.1770286510357,10485786.641080167,1.0641267957133395e+29,0.009724711879633205,1.31266318355575e-06,0.9702739754571837
3.4049027542187345e+30,772342280.19938,1667.1874034101966,10480962.549269626,1.1184243971026258e+29,0.009814443037872437,1.3412232321446548e-06,0.9701842157388959
3.554517540740572e+30,784158007.2407651,1660.0779489054783,10476017.443132475,1.1751328901691663e+29,0.009906971229555016,1.3709874742833028e-06,0.9700916577829712
3.709122640806411e+30,796055417.1633692,1652.8486488238466,10470948.938081024,1.2343476049892976e+29,0.010002382125398633,1.4020113398057916e-06,0.9699962158632621
3.868823641779331e+30,808034560.3036214,1645.499408797672,10465754.604991077,1.2961673602430839e+29,0.0101007643267132,1.4343530752451406e-06,0.9698978013202121
4.0337264415052116e+30,820095497.2932516,1638.030459155233,10460431.969514042,1.3606945983857038e+29,0.010202212324136031,1.468074536733069e-06,0.9697963196013278
4.2039371901745115e+30,832238298.6618998,1630.4419566765707,10454978.511375256,1.4280354976801586e+29,0.010306815389164753,1.503238679099532e-06,0.9696916813721566
4.379562230980651e+30,844463045.5429454,1622.7340825244767,10449391.663609892,1.4983000981748094e+29,0.010414677240968801,1.5399144271758322e-06,0.9695837828446044
4.5607080396068053e+30,856769829.8504393,1614.9070914083184,10443668.811833294,1.5716024429391347e+29,0.010525896509522802,1.5781720795797454e-06,0.969472525318398
4.747481162576486e+30,869158754.3768884,1606.9612852786615,10437807.293609902,1.6480606689643376e+29,0.010640577997945773,1.6180861872038027e-06,0.9693578039158675
4.939988154503858e+30,881629932.97136,1598.8970200028114,10431804.397896416,1.7277971512332486e+29,0.010758830070395109,1.6597350754412619e-06,0.9692395101945298
5.138335514282e+30,894183490.6967185,1590.714705920277,10425657.364424238,1.8109386324876437e+29,0.010880764894192122,1.7032010673979272e-06,0.9691175319047409
5.342629620248573e+30,906819563.9805791,1582.4148105117213,10419363.383179916,1.8976163793885535e+29,0.011006501875444708,1.7485715491979549e-06,0.9689917495530065
5.552976664370275e+30,919538300.7086415,1573.9978717461208,10412919.598793011,1.9879662654236676e+29,0.01113615367287027,1.7959355026625524e-06,0.9688620503916275
5.769482585488275e+30,932339860.480927,1565.4644451660465,10406323.113715399,2.0821289313867067e+29,0.011269851608561188,1.8453903031546138e-06,0.9687283030011361
5.992253001669779e+30,945224414.8303167,1556.8151682615169,10399570.984034428,2.1802499451373074e+29,0.011407719952961852,1.8970352031627382e-06,0.9685903830118354
6.221393141710985e+30,958192147.3243471,1548.0507262585543,10392660.216763275,2.2824798777220875e+29,0.011549890906367065,1.950975460065252e-06,0.9684481581181733
6.457007775838593e+30,971243253.7785301,1539.1718603949002,10385587.76979902,2.3889744638031276e+29,0.011696501053520013,2.007321628794044e-06,0.9683014916248516
6.699201145659346e+30,984377942.4685386,1530.1793615372526,10378350.551849542,2.499894777365757e+29,0.011847696618639868,2.066191254989094e-06,0.9681502371901056
6.948076893407295e+30,997596434.8381557,1521.073962124901,10370945.422440022,2.615407293531587e+29,0.012003613560914008,2.12770359994563e-06,0.9679942587354864
7.203737990540396e+30,1010898965.2821559,1511.8566635811023,10363369.19217222,2.7356840365959622e+29,0.012164412694692091,2.191989618507228e-06,0.9678333953156898
7.466286665739727e+30,1024285780.5694788,1502.528488913522,10355618.623054255,2.8609027054524487e+29,0.012330238642092725,2.2591807407124503e-06,0.9676675021771669
7.73582433236518e+30,1037757140.5407062,1493.0904376393878,10347690.428758373,2.991246837920276e+29,0.01250126318965364,2.329421474530374e-06,0.9674964073888722
8.012451515423593e+30,1051313318.4999518,1483.5436038638186,10339581.27491521,3.1269059724878222e+29,0.01267764655607184,2.4028586049008522e-06,0.9673199505853236
8.296267778105458e+30,1064954601.2858839,1473.8891312193289,10331287.779617975,3.268075664430482e+29,0.012859559666368635,2.479647889204718e-06,0.9671379606857424
8.587371647949125e+30,1078681289.5321572,1464.128216636987,10322806.514089426,3.4149576576689825e+29,0.01304717903521914,2.5599529295309307e-06,0.9669502610118517
8.885860542690495e+30,1092493697.9765375,1454.2620973884639,10314134.00328129,3.5677600769477854e+29,0.013240693836905511,2.643947695456917e-06,0.9667566622153994
9.191830695858732e+30,1106392155.5362403,1444.2921150017194,10305266.72666573,3.726697393687534e+29,0.013440277381607331,2.7318081532785206e-06,0.9665569908102397
9.505377082179561e+30,1120377005.5960233,1434.2196064710565,10296201.11920872,3.8919906126942016e+29,0.013646138212336253,2.823728336262225e-06,0.9663510380593278
9.826593342847182e+30,1134448607.0365477,1424.0458619535186,10286933.572299479,4.063867380260669e+29,0.013858459733677001,2.9199021153644045e-06,0.966138620364208
1.01555717107289e+31,1148607334.495211,1413.772330364762,10277460.434893677,4.2425620382996855e+29,0.014077464454588568,3.0205436925212702e-06,0.9659195150017192
1.049240293556556e+31,1162853577.0346158,1403.4007335405693,10267778.014744746,4.4283158276535785e+29,0.014303355832902317,3.1258697162669063e-06,0.9656935182973817
1.083717620923232e+31,1177187738.1805944,1392.9326684645412,10257882.579606518,4.6213768516994275e+29,0.01453635197463779,3.236110494586419e-06,0.965460411914868
1.1189979091125682e+31,1191610237.062205,1382.3697886559496,10247770.3585736,4.822000208401017e+29,0.01477667747960604,3.351507924371772e-06,0.9652199710124698
1.155089743374198e+31,1206121508.6617627,1371.7138015253588,10237437.54350453,5.030448067076911e+29,0.015024563585565427,3.4723161053203666e-06,0.9649719640983295
1.1920015308513906e+31,1220722004.0648987,1360.9664711226071,10226880.290517356,5.246989737425874e+29,0.015280248246542678,3.598801968657394e-06,0.9647161529514889
1.229741493197254e+31,1235412190.841748,1350.1295908873803,10216094.721379377,5.471901909751838e+29,0.015543990086441192,3.7312507777397853e-06,0.9644522786627814
1.268317659230118e+31,1250192553.0141492,1339.2050881225907,10205076.925097588,5.705468385813994e+29,0.01581601499278715,3.869948292787485e-06,0.9641801150589203
