age_yr,step_yr,R_Rsun,L_Lsun,Teff_K,central_X,central_Y3,step_error_norm,discrete_luminosity_balance,nuclear_rest_mass_balance,last_halfstep_coupling_iterations,convective_mass_fraction,central_T_K,central_rho,surface_X,surface_Y3,nuclear_deposited_Lsun,nuclear_neutrino_Lsun,last_halfstep_gravothermal_Lsun,hydrogen_mass_Msun,thermal_neutrino_Lsun
3544973688550.1562,0,0.1436065054517818,0.0020178104721846,3228.1939278640466,0.17506005366029184,0.0005292880441519267,0,0,0,0,0.8786024997949453,8480001.794345623,272.35900762716375,0.17514281955326763,0.0005787472141680637,0.0019756859862027285,4.268453646813324e-05,,0.017512522035442117,4.8844212431747345e-11
3544975558157.7754,1869607.6188135366,0.14359600980955037,0.0020174837537913527,3228.181214604479,0.17505853959240283,0.0005286183017181719,0.012626893943412307,3.219646771412954e-14,-1.506576774445989e-08,2,0.8786024997949453,8480475.848284125,272.4362107517649,0.17514273282289314,0.0005788334224048215,0.0019753572667181923,4.270837432952491e-05,4.2126535951315706e-05,0.01751248274375612,4.887809009054106e-11
3544979297373.0127,3739215.237627073,0.1435749984759254,0.002016829739102677,3228.155744748358,0.1750554959563387,0.0005272564588274403,0.05169049666596537,3.7614356074300304e-13,-9.04989398975431e-08,2,0.8768851184147985,8481424.14303217,272.590900969804,0.17514255915092872,0.0005790060457508207,0.0019746331452953876,4.2756095636332636e-05,4.2196642754034825e-05,0.01751240398839127,4.894598696545506e-11
3544986775803.488,7478430.475254146,0.14353303488150046,0.0020155235653389757,3228.1047334180257,0.1750493715276151,0.0005246050341540124,0.19354863648748075,-5.662137425588298e-15,-4.90054108404081e-10,3,0.8745162215887206,8483321.648611885,272.89988827025235,0.1751422167946999,0.0005793464061062607,0.0019734132246598092,4.285168307396568e-05,4.2110389761021535e-05,0.01751224579997317,4.908186684487763e-11
3544990515018.725,3739215.237627073,0.14351207001651567,0.002014871108007314,3228.079214436886,0.17504628986488902,0.0005232641776613217,0.051376954283803566,3.8546943414985435e-13,-8.835931009087972e-08,2,0.8728107733748981,8484269.333585639,273.0544680389129,0.17514204531931699,0.0005795168776420535,0.001972752756447086,4.289948794077282e-05,4.211840071091254e-05,0.017512166463748053,4.9149907735507156e-11
3544997993449.1997,7478430.475254146,0.14347031022326756,0.0020135722891749465,3228.0285578553885,0.1750400894622955,0.000520654291953564,0.19269271527141626,-3.219646771412954e-15,-1.8203172302833082e-10,3,0.8704328220996627,8486160.249646954,273.3627114935081,0.17514170733109363,0.0005798529559092149,0.001971640060613849,4.299500334835486e-05,4.193227784688118e-05,0.01751200712103401,4.9285790289401853e-11
3545001732664.437,3739215.237627073,0.14344947929181023,0.002012925075426618,3228.0034845900427,0.1750369698026571,0.000519333832006581,0.051207203804939226,3.6148861681795097e-13,-8.534771667179086e-08,2,0.8687393179306194,8487102.881556118,273.5167627713472,0.17514153804485666,0.0005800212815448968,0.0019710266056768293,4.304269837523522e-05,4.1898519104261256e-05,0.01751192721033256,4.935374474212723e-11
3545009211094.912,7478430.475254146,0.14340806015165664,0.0020116393115846734,3227.9539342267813,0.17503069346713762,0.0005167645033532911,0.19223282850516082,1.7763568394002505e-15,-1.7146539743606581e-10,3,0.8663523940085586,8488979.346153606,273.82364768061115,0.17514120441114436,0.0005803530882857425,0.001969993495425977,4.3137826068303446e-05,4.164586564796174e-05,0.01751176672622041,4.948926158344223e-11
3545012950310.1494,3739215.237627073,0.14338742061660506,0.002010998937362402,3227.9293041991127,0.1750275358288944,0.0005154640014394587,0.051137052512395184,3.6193270602780103e-13,-8.321451094861487e-08,2,0.864670843603757,8489913.719481064,273.97690795886973,0.17514103730786001,0.0005805192727450486,0.001969415733937937,4.3185276621663375e-05,4.158325298216569e-05,0.01751168624754722,4.95569727035856e-11
3545020428740.624,7478430.475254146,0.14334643433018598,0.002009728392721569,3227.88070020399,0.17502118358583577,0.0005129344898662802,0.19204552884587167,-2.5962121341649436e-10,-2.3717083852403675e-10,3,0.8622750298321477,8491770.003937842,274.28204066182013,0.17514070801685333,0.0005808468169265812,0.0019684432930347807,4.327979345397587e-05,4.1285148856887695e-05,0.017511524635175853,4.9691867583786766e-11
