run,model,age_yr,central_X,central_Y3,L_Lsun,R_Rsun,Teff_K,central_convective_flag
ajr-20000,2,10000.0,0.7000000000000001,1.7607519625273053e-26,0.49903709508881927,2.988288055196205,2806.0,1
ajr-20000,3,14185.765948429353,0.7000000000000001,6.512103986101674e-26,0.4692904911180773,2.8692367399741268,2820.0,1
ajr-20000,4,19124.4550281828,0.7000000000000001,1.744598408718077e-25,0.439846394984326,2.748184562311341,2836.0,1
ajr-20000,5,24602.4944899079,0.7000000000000001,4.192227254455886e-25,0.4122173458725183,2.633134971970677,2850.0,1
ajr-20000,6,30749.469096264413,0.7000000000000001,9.679855078296631e-25,0.3861008359456636,2.5220871065114276,2865.0,1
ajr-20000,7,37640.41444574822,0.7000000000000001,2.1909113634480844e-24,0.36159770114942524,2.415040965933592,2880.0,1
ajr-20000,8,45265.92197357194,0.7000000000000001,4.868860476497539e-24,0.33880877742946713,2.3139974126778786,2895.0,1
ajr-20000,9,53763.73491610199,0.7000000000000001,1.0712209516575761e-23,0.3168265412748171,2.2169555843035793,2908.0,1
ajr-20000,10,63370.40770002562,0.7000000000000001,2.353962258521174e-23,0.2964576802507837,2.1239154808106946,2923.0,1
ajr-20000,11,74053.39053377893,0.7000000000000001,5.125226841980715e-23,0.2773996865203762,2.03387667097887,2937.0,1
ajr-20000,12,85704.26754096079,0.7000000000000001,1.0961543959587533e-22,0.25965256008359455,1.9508408796895214,2950.0,1
ajr-20000,13,98588.78575286896,0.7000000000000001,2.3266218169730286e-22,0.24311546499477535,1.8708063820612333,2963.0,1
ajr-20000,14,112864.91589900272,0.7000000000000001,4.915172067907768e-22,0.22768756530825499,1.7947736093143598,2976.0,1
ajr-20000,15,128615.37108250691,0.7000000000000001,1.0313978375355102e-21,0.21336886102403346,1.721742130228547,2990.0,1
ajr-20000,16,146235.39818272422,0.7000000000000001,2.1641663547528605e-21,0.1996551724137931,1.6517119448037947,3002.0,1
ajr-20000,17,165695.07243938762,0.7000000000000001,4.507849566124957e-21,0.18684900731452456,1.5846830530401035,3014.0,1
ajr-20000,18,187007.03979590908,0.7000000000000001,9.27237543120715e-21,0.17505120167189134,1.5216558861578267,3026.0,1
ajr-20000,19,211361.86362225778,0.7000000000000001,1.9233233543978425e-20,0.16365673981191223,1.4596291504959036,3039.0,1
ajr-20000,20,238344.838840762,0.7000000000000001,3.960906464164e-20,0.15306896551724136,1.3996032772746874,3051.0,1
ajr-20000,21,267667.59501713584,0.7000000000000001,8.016764291222612e-20,0.1433887147335423,1.3445795601552395,3064.0,1
ajr-20000,22,300874.86983855994,0.7000000000000001,1.6254730063650712e-19,0.13431347962382448,1.2895558430357912,3077.0,1
ajr-20000,23,337459.2042208526,0.7000000000000001,3.2531547558088377e-19,0.12564158829676073,1.2385338507977575,3088.0,1
ajr-20000,24,377759.1636814954,0.7000000000000001,6.424228791881444e-19,0.11767554858934169,1.1895127210004313,3100.0,1
ajr-20000,25,426794.1044633607,0.7000000000000001,1.3137853623224761e-18,0.10950783699059562,1.1384907287623975,3112.0,1
ajr-20000,26,483885.0317807026,0.7000000000000001,2.7127367331283433e-18,0.1015417972831766,1.0884691677447176,3124.0,1
ajr-20000,27,544339.0334247148,0.7000000000000001,5.3773188936441995e-18,0.09463453500522466,1.042449331608452,3135.0,1
ajr-20000,28,615145.431171773,0.7000000000000001,1.0769804989156129e-17,0.08787852664576803,0.997730056058646,3146.0,1
ajr-20000,29,695665.169582852,0.7000000000000001,2.1521253225243275e-17,0.0813746081504702,0.9542112979732643,3156.0,1
ajr-20000,30,783081.2502547365,0.7000000000000001,4.200295366595393e-17,0.0757580459770115,0.9138939197930142,3168.0,1
ajr-20000,31,885894.5527503234,0.7000000000000001,8.343529201291156e-17,0.07033307210031348,0.8734764984907287,3180.0,1
ajr-20000,32,993915.1890185109,0.7000000000000001,1.6012510296933126e-16,0.06557361546499478,0.837160845191893,3192.0,1
