age_yr,step_yr,R_Rsun,L_Lsun,Teff_K,central_X,central_Y3,step_error_norm,discrete_luminosity_balance,nuclear_rest_mass_balance,last_halfstep_coupling_iterations,convective_mass_fraction,central_T_K,central_rho,surface_X,surface_Y3,nuclear_deposited_Lsun,nuclear_neutrino_Lsun,last_halfstep_gravothermal_Lsun,hydrogen_mass_Msun,thermal_neutrino_Lsun
7284604911.070355,978277094.2317276,0.12600935463998644,0.0008384267279270014,2766.887271139661,0.6982725425867444,0.0017274358565330132,0.8023963582459714,-3.6181724283324e-11,3.2699842833494586e-11,3,1.0000000000000007,4636399.832812281,381.17854928516647,0.6982725425867444,0.0017274358565330132,0.0008385127506172318,3.3309127463094633e-05,-8.598885247826254e-08,0.06982725425867448,3.386808792607295e-11
8267506234.615716,982901323.5453615,0.12601853870999558,0.0008387322505176828,2767.038465418375,0.6980391095570201,0.001960859153077406,0.8037612664324456,-3.664113457091389e-11,1.5234258299301473e-11,3,1.0000000000000007,4637349.447828265,381.09879125464306,0.6980391095570201,0.001960859153077406,0.0008388186592160992,3.332079525472612e-05,-8.637485612277909e-08,0.06980391095570204,3.3873025832036915e-11
9254214787.091703,986708552.4759864,0.12602779919562088,0.0008390390237556423,2767.1897757583934,0.6978046916799514,0.0021952646543355546,0.8041454657714553,-3.6979863615727027e-11,2.3847590568948362e-11,3,1.0000000000000007,4638302.567728472,381.01837988997926,0.6978046916799514,0.0021952646543355546,0.0008391257744058988,3.3332443542145834e-05,-8.671680337168492e-08,0.06978046916799516,3.3877912400927334e-11
10244508662.792116,990293875.7004148,0.12603714440933675,0.0008393461351878399,2767.3403579476935,0.6975693414897082,0.0024305994745609945,0.8006554708117619,-3.719724528394863e-11,1.8018697645061366e-11,3,1.0000000000000007,4639258.737765453,380.93719509353224,0.6975693414897082,0.0024305994745609945,0.0008394334560150783,3.334404537334383e-05,-8.728697574045124e-08,0.06975693414897083,3.388271927760909e-11
11240564683.506636,996056020.7145175,0.12604659741707822,0.0008396544709624001,2767.4906887987377,0.6973325413036182,0.002667380884304497,0.8015267338734589,-3.7774561256753714e-11,2.5358382060858276e-11,3,1.0000000000000007,4640220.018965645,380.85503416654234,0.6973325413036182,0.002667380884304497,0.0008397423137612392,3.3355621726742024e-05,-8.780894310461957e-08,0.06973325413036177,3.3887452049641766e-11
12241871720.339535,1001307036.8329006,0.12605616579208678,0.000839963267037141,2767.6400549831983,0.6970944122720312,0.0029054873433282846,0.800874451201139,-3.827538286316212e-11,2.2646329256303943e-12,3,1.0000000000000007,4641185.705130108,380.77181788154013,0.6970944122720312,0.0029054873433282846,0.0008400516965703139,3.3367145012007794e-05,-8.839567323873772e-08,0.06970944122720316,3.3892084144183494e-11
13248867285.668024,1006995565.3284895,0.12606583608706207,0.0008402739068324444,2767.789743117645,0.6968548498172191,0.0031450230028920796,0.8035687226737309,-3.8907432831081223e-11,-3.6557423754857155e-12,3,1.0000000000000007,4642156.582342407,380.687721073727,0.6968548498172191,0.0031450230028920796,0.0008403627032521717,3.3378656409254206e-05,-8.87625557615497e-08,0.06968548498172193,3.389665848779898e-11
14259884511.577421,1011017225.9093972,0.12607555602178488,0.0008405878463447227,2767.9415243913168,0.696614249735777,0.0033855916878718396,0.8093315528867606,-3.940603399144038e-11,4.325650948544535e-12,3,1.0000000000000007,4643131.73065224,380.6032723706861,0.696614249735777,0.0033855916878718396,0.0008406765800721466,3.3390204754328615e-05,-8.86998593043427e-08,0.06966142497357773,3.390124380640076e-11
15271319163.484161,1011434651.906739,0.12608528760086807,0.0008409035121786755,2768.0945185493306,0.6963734694962971,0.0036263356439957314,0.8070424062367465,-3.922318025928462e-11,1.592348475298877e-11,3,1.0000000000000007,4644107.697248472,380.51878420411015,0.6963734694962971,0.0036263356439957314,0.000840992296056517,3.340175086459443e-05,-8.87500049983687e-08,0.06963734694962971,3.390582598470163e-11
16284605438.753284,1013286275.2691239,0.12609504601448826,0.0008412214632704264,2768.2490173826027,0.6961321676427478,0.003867595878691313,0.8076421664782174,-3.9297232135027116e-11,1.9383605831535533e-11,3,1.0000000000000007,4645085.8437389,380.43412228924745,0.6961321676427478,0.003867595878691313,0.0008413102688814958,3.341330863281644e-05,-8.877173371831654e-08,0.06961321676427482,3.39104087096195e-11
