mass_g,radius_cm,density_g_cm3,temperature_K,luminosity_erg_s,X,Y3,Y4
2.443057181484847e+22,835691.5180150039,9993.256621756178,13186744.202361828,1.3183838153280668e+20,0.0008157051212789522,3.872418981313578e-10,0.9791842944914804
2.7629449379126213e+22,870680.5840582957,9993.256303327049,13186744.195022553,1.4910096771668145e+20,0.0008157051627958753,3.8724194298202075e-10,0.9791842944499635
3.885356856736622e+22,975464.9543835146,9993.255261957018,13186744.171020687,2.096713863010366e+20,0.0008157052985701699,3.87242089658789e-10,0.9791842943141889
6.362541928008924e+22,1149770.3903562163,9993.253244654463,13186744.124525152,3.433515273400179e+20,0.0008157055615870755,3.8724237379564884e-10,0.9791842940511718
1.1322824859108348e+23,1393322.6583657335,9993.249844665963,13186744.046160866,6.11031027392143e+20,0.0008157060048795992,3.872428526843219e-10,0.9791842936078787
2.0778892824630874e+23,1705847.5324992593,9993.244510540908,13186743.92321777,1.1213240261381116e+21,0.0008157067003468271,3.8724360399788023e-10,0.9791842929124108
3.805522180150909e+23,2087070.798480611,9993.236549077028,13186743.73971834,2.0536355492595918e+21,0.000815707738370327,3.872447253766822e-10,0.9791842918743862
6.833123110189704e+23,2536718.2584217433,9993.225125572528,13186743.476423685,3.6874737180714546e+21,0.0008157092277820164,3.8724633439427383e-10,0.9791842903849728
1.1929677510431023e+24,3054515.736349537,9993.209263846446,13186743.110833535,6.437825333545078e+21,0.0008157112958625772,3.87248568556593e-10,0.9791842883168901
2.0191661240473716e+24,3640189.0845722454,9993.187846804021,13186742.617199142,1.0896414473280425e+22,0.0008157140882694511,3.872515852255833e-10,0.9791842855244802
3.313005281404451e+24,4293464.19091247,9993.15961755003,13186741.966548616,1.7878666163435965e+22,0.0008157177688940672,3.8725556146692415e-10,0.9791842818438515
5.276758194302735e+24,5014066.986797762,9993.123180875631,13186741.126720617,2.847619892601434e+22,0.0008157225196712521,3.872606938469049e-10,0.9791842770930693
8.174588858700668e+24,5801723.456186011,9993.077004968165,13186740.062403247,4.4114673950178956e+22,0.0008157285403607586,3.872671982000631e-10,0.9791842710723733
1.2344226972373922e+25,6656159.645298419,9993.019423244488,13186738.735175185,6.661682990782439e+22,0.0008157360483139569,3.8727530938195027e-10,0.9791842635644119
1.8209569393030354e+25,7577101.6731327,9992.948636250256,13186737.103548756,9.827053414213844e+22,0.0008157452782335636,3.8728528101567044e-10,0.9791842543344823
2.6294176660129287e+25,8564275.742729142,9992.862713593733,13186735.123012748,1.4190168646040917e+23,0.0008157564819306617,3.8729738523702186e-10,0.9791842431307731
