mass_g,radius_cm,density_g_cm3,temperature_K,luminosity_erg_s,X,Y3,Y4
4.467751641948549e+26,69927728.04042353,311.8993129627077,8468505.512655966,1.4911645479041763e+26,0.15177201817303923,0.00022797814034606153,0.8280000036866149
5.582764848549161e+26,75319226.75563847,311.88862367527514,8468358.92810321,1.8632094905171745e+26,0.15177414761600846,0.000228010062038264,0.8279978423219534
6.920519269666332e+26,80910640.46701545,311.8767049230024,8468195.470392052,2.3095323844641513e+26,0.1517765202501346,0.00022804566119840242,0.8279954340886672
8.514997359473173e+26,86701102.44816755,311.86346720550375,8468013.919726353,2.841449404098694e+26,0.15177915527680377,0.00022808520778636718,0.82799275951541
1.0403835098049522e+27,92689746.43151355,311.8488190112977,8467813.019672908,3.471488343491937e+26,0.15178207085627693,0.00022812897777165945,0.8279898001659515
1.262855455946562e+27,98875706.6310181,311.83266622820753,8467591.47784451,4.213464417528953e+26,0.15178528565506727,0.00022817725542672972,0.8279865370895061
1.523480060619688e+27,105258117.7714359,311.814912196169,8467347.96658416,5.082557119177957e+26,0.1517888188338468,0.0002282303332442015,0.8279829508329092
1.8272581416244748e+27,111836115.11803296,311.79545776036923,8467081.123650048,6.0953879894921585e+26,0.1517926900351275,0.00022828851186003837,0.8279790214530125
2.1796512549405521e+27,118608834.5067538,311.7742013247637,8466789.552901877,7.270099156854743e+26,0.15179691937070994,0.00022835209998301915,0.8279747285293071
2.586606425906472e+27,125575412.37479663,311.75103890598984,8466471.824988468,8.626432498396432e+26,0.15180152740889688,0.00022842141433074525,0.8279700511767725
3.05458117557204e+27,132734985.79156144,311.7258641876996,8466126.478036983,1.0185809272807328e+27,0.15180653516145293,0.0002284967795725149,0.8279649680589747
3.590568812814325e+27,140086692.48993704,311.69856857533284,8465752.01834385,1.1971410069936947e+27,0.15181196407029948,0.00022857852827929597,0.8279594574014213
4.202123962768568e+27,147629670.89788538,311.669041251386,8465346.92106777,1.400825491864794e+27,0.15181783599393417,0.00022866700088113246,0.8279534970051848
4.8973883020764277e+27,155363060.2047279,311.6371663133567,8464909.63092404,1.6323283486218155e+27,0.15182418028556144,0.00022876255649883744,0.8279470571579398
5.685116471393944e+27,163286000.3314473,311.60283379482286,8464438.562881056,1.8945434871025541e+27,0.15183100712936154,0.00022886553208985387,0.8279401273385487
6.57470213553705e+27,171397631.95498157,311.5659242821202,8463932.102862116,2.1905727131166688e+27,0.15183834505155508,0.00022897629991296497,0.827932678648532
