age_yr,step_yr,R_Rsun,L_Lsun,Teff_K,central_X,central_Y3,step_error_norm,discrete_luminosity_balance,nuclear_rest_mass_balance,last_halfstep_coupling_iterations,convective_mass_fraction,central_T_K,central_rho,surface_X,surface_Y3,nuclear_deposited_Lsun,nuclear_neutrino_Lsun,last_halfstep_gravothermal_Lsun,hydrogen_mass_Msun,thermal_neutrino_Lsun
0,0,0.1259722885864316,0.0008349535502311358,2764.4239675384624,0.7,0,0,0,0,0,1.0000000000000004,4628828.478258943,381.4679412304652,0.7,0,0.0008349535840045188,3.316938303555077e-05,,0.06999999999999991,3.3772102284191925e-11
100000000,100000000,0.1259725879106269,0.0008349692829986214,2764.433705440257,0.699976354790394,2.364520954332755e-05,0.017082039445170945,1.0692330798534044e-08,-2.4942896637014655e-09,2,1.0000000000000004,4628934.303580912,381.46549974002335,0.699976354790394,2.364520954332755e-05,0.0008350080071685119,3.3171544757637225e-05,-3.868146841898102e-08,0.06999763547903944,3.377370395219363e-11
300000000,200000000,0.1259739703012959,0.0008350146366415432,2764.4560759500546,0.6999290602615634,7.093973641841509e-05,0.018259531167075235,-1.887379141862766e-15,-1.4518826696452436e-08,2,1.0000000000000004,4629133.751092591,381.4535309402668,0.6999290602615634,7.093973641841509e-05,0.0008350861127602828,3.3174645205903934e-05,-7.144234321216025e-08,0.0699929060261564,3.377552910557978e-11
700000000,400000000,0.12597761978117628,0.00083512024171075,2764.5034339353115,0.6998344587286216,0.00016554124735816017,0.031663599520115326,3.240963053485757e-12,-1.0088596624768797e-12,3,1.0000000000000004,4629518.882468815,381.4215909114089,0.6998344587286216,0.00016554124735816017,0.0008352076992638573,3.317946342179199e-05,-8.742377277868677e-08,0.06998344587286214,3.3777621983947735e-11
1500000000,800000000,0.1259854792503801,0.000835337590547312,2764.597051916792,0.6996452115460288,0.0003547882245936357,0.12243416502855098,-1.2932988013858449e-11,-2.0871526729138168e-11,3,1.0000000000000004,4630280.588053816,381.3526310469206,0.6996452115460288,0.0003547882245936357,0.0008354294466405239,3.3188219785033e-05,-9.182232319769861e-08,0.06996452115460287,3.378081749466805e-11
3100000000,1600000000,0.1260016150683931,0.0008357647970409478,2764.773404161108,0.6992665486207196,0.0007334493731524196,0.4712366508119459,-2.3105972690729004e-10,8.595790745857812e-12,3,1.0000000000000004,4631798.218112728,381.21089330920756,0.6992665486207196,0.0007334493731524196,0.0008358589693634958,3.320506025261008e-05,-9.413872920263285e-08,0.06992665486207196,3.378645687029733e-11
5197697988.454813,2097697988.4548128,0.12602324980873061,0.0008363122354690931,2764.988667992996,0.6987697986114958,0.0012301924092655877,0.7773680188449816,-5.68689317859139e-10,1.7914558725351526e-12,3,1.0000000000000004,4633781.856562617,381.0207296172759,0.6987697986114958,0.0012301924092655877,0.0008364085052891836,3.3226357314622474e-05,-9.62365027088045e-08,0.06987697986114956,3.3792983540529757e-11
6268334723.842181,1070636735.3873676,0.12603434444481512,0.0008365951167455925,2765.1007394802887,0.6985161637244527,0.001483821457726593,0.20997563243696504,-5.227851485045676e-11,1.4270806758531762e-12,3,1.0000000000000004,4634794.200379122,380.92335085982677,0.6985161637244527,0.001483821457726593,0.0008366898522339681,3.323715362142949e-05,-9.470173587234274e-08,0.0698516163724453,3.379623922177923e-11
8371145534.722767,2102810810.8805869,0.12605306333944166,0.0008372968501210746,2765.475037096171,0.6980176716280737,0.001982293725644206,0.974833457290103,-6.476260638876852e-10,7.238654120556021e-14,3,1.0000000000000004,4636836.4660428595,380.7621172170416,0.6980176716280737,0.001982293725644206,0.0008373788872771476,3.326356016641932e-05,-8.200388983773303e-08,0.06980176716280735,3.380849050031275e-11
10287948609.927462,1916803075.2046928,0.1260706231217661,0.0008379072013465589,2765.78623890767,0.697562950670144,0.0024369862255324212,0.7683314040551892,-4.580986701085976e-10,-5.827893723164834e-12,3,1.0000000000000004,4638691.577861285,380.6104080101743,0.697562950670144,0.0024369862255324212,0.0008379923655260881,3.328679244914498e-05,-8.513074465017428e-08,0.06975629506701445,3.381872308809581e-11
12256042053.966038,1968093444.038577,0.12608920403980475,0.0008385187051019504,2766.086885466175,0.6970957461376034,0.002904148359298998,0.7798266199454673,-4.892803939782198e-10,-6.588063428125679e-13,3,1.0000000000000004,4640589.130298257,380.449553907482,0.6970957461376034,0.002904148359298998,0.0008386061374108207,3.330974270597502e-05,-8.739889091831805e-08,0.0697095746137604,3.382822278382072e-11
14261849300.862272,2005807246.8962345,0.12610851294774836,0.0008391354189516746,2766.383536170028,0.6966192703184998,0.003380564513719946,0.7869641360791491,-5.113811596402229e-10,1.1890488593735427e-12,3,1.0000000000000004,4642519.1989870705,380.28247250900637,0.6966192703184998,0.003380564513719946,0.0008392243684522612,3.333256084057705e-05,-8.891609243146227e-08,0.06966192703184998,3.3837272984735654e-11
16296801607.32012,2034952306.4578495,0.12612842813906952,0.0008397559119381,2766.6763406848127,0.6961355521805945,0.0038642022136046853,0.7888097774966241,-5.269864544743541e-10,-1.1897927088000415e-11,3,1.0000000000000004,4644474.0815389585,380.11017274683087,0.6961355521805945,0.0038642022136046853,0.0008398461693955035,3.33551969176277e-05,-9.022405405367972e-08,0.06961355521805945,3.384588984743399e-11
18358905784.087254,2062104176.7671356,0.12614890001459642,0.0008403811715209882,2766.9666513389816,0.6956450608267178,0.004354588448466886,0.790071748024701,-5.41714340052124e-10,-2.8858027079081694e-12,3,1.0000000000000004,4646452.3602407165,379.93310280297385,0.6956450608267178,0.004354588448466886,0.0008404725780906711,3.337767341844663e-05,-9.137317081280448e-08,0.06956450608267178,3.38541166106791e-11
20446854585.944637,2087948801.857381,0.12616989078578947,0.000841012140200717,2767.2556518095294,0.6951481028739278,0.0048514123840990644,0.7899377407749597,-5.552511783690761e-10,-4.424238753131249e-12,3,1.0000000000000004,4648453.187784285,379.7516033651649,0.6951481028739278,0.0048514123840990644,0.000841104630110173,3.340001204226773e-05,-9.245651443913358e-08,0.06951481028739277,3.386198991056417e-11
22561151241.793133,2114296655.8484933,0.1261914981889821,0.0008416441874164092,2767.538456165784,0.694644555628515,0.00535479204484888,0.7724935691122425,-5.566952454572061e-10,-6.6527894304613255e-12,3,1.0000000000000004,4650475.386176145,379.56469364275597,0.694644555628515,0.00535479204484888,0.0008417387652576814,3.342204920198361e-05,-9.454444048768631e-08,0.0694644555628516,3.386932391260089e-11
24726166672.153645,2165015430.3605103,0.12621458120765938,0.0008422584981415958,2767.7901888867527,0.6941286211108432,0.005870517712101614,0.7535911028533349,-5.852669460182369e-10,1.6984191830715645e-12,3,1.0000000000000004,4652531.725006621,379.36431738283227,0.6941286211108432,0.005870517712101614,0.0008423566097994686,3.344299122602935e-05,-9.807827578586633e-08,0.06941286211108433,3.3875033056107466e-11
26970749438.96571,2244582766.812067,0.1262386403300673,0.000842902578228656,2768.055361754867,0.6935934064355551,0.0064054715140367865,0.7972233884157021,-6.530760376932676e-10,-1.4572787421229805e-12,3,1.0000000000000004,4654663.160047519,379.1554164743656,0.6935934064355551,0.0064054715140367865,0.0008430010830485054,3.346444867342829e-05,-9.847148964108284e-08,0.06935934064355553,3.388068771724937e-11
29233246991.24771,2262497552.2819996,0.12626284164155713,0.0008435656685733782,2768.3342441082746,0.6930535963627122,0.00694496848847879,0.811612326234723,-6.672594698997614e-10,-7.153944103777121e-12,3,1.0000000000000004,4656814.543935067,378.94560285265516,0.6930535963627122,0.00694496848847879,0.0008436636652887409,3.3486157637539365e-05,-9.796339174106751e-08,0.06930535963627121,3.388649894463062e-11
31493496119.28862,2260249128.0409107,0.12628686327053296,0.000844248618031466,2768.6310290036304,0.6925139970755211,0.007484199873051514,0.8222086644860127,-6.664996332617079e-10,6.001643626518671e-12,3,1.0000000000000004,4658969.349242721,378.73822859867374,0.6925139970755211,0.007484199873051514,0.000844345450990656,3.350818511205054e-05,-9.679962917430217e-08,0.06925139970755209,3.38927071082521e-11
33736901696.76677,2243405577.4781513,0.12631057613491745,0.0008449429233957169,2768.9401307028197,0.6919780951904768,0.008019677185787048,0.8073779722561625,-6.458448220669766e-10,-5.821343407319546e-12,3,1.0000000000000004,4661112.535868126,378.5339704701116,0.6919780951904768,0.008019677185787048,0.0008450393732442514,3.353027611931177e-05,-9.641649509230289e-08,0.06919780951904769,3.389914428707269e-11
35983947145.416306,2247045448.6495376,0.1263328080086634,0.0008457227944938556,2769.335129361831,0.6914409726051458,0.00855630982102931,0.9299713776833585,-6.92068957697245e-10,-5.9360294457633245e-12,3,1.0000000000000004,4663287.661720219,378.34421171338425,0.6914409726051458,0.00855630982102931,0.0008458116335545702,3.355499369766773e-05,-8.880573750990792e-08,0.06914409726051457,3.3908503196166746e-11
38081049244.09158,2097102098.6752772,0.12635316948053826,0.000846471461548353,2769.7246132899927,0.6909393628264789,0.009057400347758067,0.8091035719193229,-5.452389650884015e-10,2.2584156766924934e-12,3,1.0000000000000004,4665326.289261908,378.1709205132363,0.6909393628264789,0.009057400347758067,0.0008465596519360792,3.3578707149693934e-05,-8.815693128364925e-08,0.0690939362826479,3.391797176751449e-11
