age_yr,R_Rsun,Teff_K,log_g,surface_X,surface_Y3,photosphere_T_K,photosphere_rho_g_cm3,photosphere_Pgas
0.0,0.12594462902252823,2765.726096457834,5.237708324295686,0.7,0.0,3019.403029538415,1.4324088610019223e-05,1612956.8471895386
100000000.0,0.12594491892392565,2765.737929970141,5.23770632496577,0.6999763205979127,2.367940202204461e-05,3019.4148685786586,1.4323943866620211e-05,1612931.7492691136
300000000.0,0.1259462132900024,2765.767840996546,5.237697398314962,0.6999289574960165,7.104250194776184e-05,3019.4436689123627,1.4323331198013549e-05,1612849.9666414617
700000000.0,0.12594953329784656,2765.833804659949,5.237674502158815,0.6998342174336932,0.00016578254212558122,3019.5063026728103,1.432178265243919e-05,1612654.7420921286
1500000000.0,0.12595656821326287,2765.967713937084,5.237625988447897,0.6996446861248918,0.0003553136442197163,3019.633164757916,1.4318551291964064e-05,1612250.7560264291
2448494063.2291183,0.1259650131750179,2766.1250668150033,5.23756775444871,0.6994198969302904,0.0005801021362971554,3019.7823667907983,1.431474318840464e-05,1611773.3871710093
3402413553.90053,0.12597362301793932,2766.27893282486,5.237508387496046,0.6991937417291332,0.0008062558939390547,3019.9286975756527,1.431102138282677e-05,1611302.3384792858
4364910051.956298,0.12598238868991188,2766.4320978804108,5.237447950232516,0.6989654726517005,0.0010345224916060364,3020.074574171372,1.4307313992767512e-05,1610830.9642286666
5333175264.20991,0.1259912720798194,2766.584498062768,5.237386705621358,0.6987357549067027,0.0012642364227045187,3020.219897550037,1.4303623037194217e-05,1610359.919511827
6306327816.838628,0.1260002618819999,2766.7360820552944,5.237324731769765,0.6985047971327387,0.001495188738964912,3020.3646100928067,1.4299949929115938e-05,1609889.4763086354
7284604911.070355,0.12600935463998644,2766.887271139661,5.237262052659736,0.6982725425867444,0.0017274358565330132,3020.5090732697163,1.42962835956341e-05,1609418.6480848696
8267506234.615716,0.12601853870999558,2767.038465418375,5.237198748699606,0.6980391095570201,0.001960859153077406,3020.653618390931,1.4292613280882807e-05,1608946.5933540354
9254214787.091703,0.12602779919562088,2767.1897757583934,5.237134922692975,0.6978046916799514,0.0021952646543355546,3020.7983269211977,1.4288936528017722e-05,1608473.2511884235
10244508662.792116,0.12603714440933675,2767.3403579476935,5.2370705174695775,0.6975693414897082,0.0024305994745609945,3020.942479189752,1.4285275878629641e-05,1608000.5978076616
11240564683.506636,0.12604659741707822,2767.4906887987377,5.237005374210886,0.6973325413036182,0.002667380884304497,3021.0865148297808,1.4281618517696729e-05,1607527.1639163618
12241871720.339535,0.12605616579208678,2767.6400549831983,5.236939440899944,0.6970944122720312,0.0029054873433282846,3021.229819467282,1.427798252663077e-05,1607054.5680283462
13248867285.668024,0.12606583608706207,2767.789743117645,5.236872810368425,0.6968548498172191,0.0031450230028920796,3021.3734921381288,1.4274333993510607e-05,1606579.8319148351
14259884511.577421,0.12607555602178488,2767.9415243913168,5.236805842958095,0.696614249735777,0.0033855916878718396,3021.5190098317908,1.4270626969260982e-05,1606099.3169972487
15271319163.484161,0.12608528760086807,2768.0945185493306,5.236738800493652,0.6963734694962971,0.0036263356439957314,3021.6655678534207,1.4266885292469451e-05,1605615.6875201566
16284605438.753284,0.12609504601448826,2768.2490173826027,5.236671578357353,0.6961321676427478,0.003867595878691313,3021.8134370111297,1.4263101235554408e-05,1605128.0387725534
17299369731.921852,0.12610482463594042,2768.405172333426,5.236604222234949,0.6958904329747863,0.004109283196201601,3021.9627396683136,1.4259270734502893e-05,1604636.0830820482
18315408802.088177,0.12611461947910388,2768.5630527687285,5.236536759611613,0.6956483137815987,0.004351348901194251,3022.1135314804465,1.4255392057563372e-05,1604139.7080296292
19332582526.402973,0.1261244271693715,2768.722811254279,5.236469213752679,0.695405843333349,0.004593759309833637,3022.2659395099354,1.4251461090539518e-05,1603638.5816216902
20350688382.777122,0.12613424121376346,2768.884697100626,5.2364016293901035,0.695163069784423,0.004836465853903015,3022.4201720913743,1.4247471344317337e-05,1603132.1829008802
21369080999.14933,0.1261440851700385,2769.04668932145,5.236333844321861,0.6949201471708331,0.005079314116219549,3022.5745031781175,1.4243475618260636e-05,1602625.1346030047
22394128983.047077,0.1261540646901748,2769.2083618484007,5.236265131165908,0.6946755564386651,0.005323822175668677,3022.7286716528242,1.4239482374820957e-05,1602117.0245802505
23423664574.076378,0.12616413502871765,2769.3705029711136,5.236195798197184,0.6944298143262267,0.0055694729097640824,3022.883312196658,1.4235471680333878e-05,1601606.5297228838
24458018782.998074,0.12617430641629943,2769.532768055036,5.236125775136454,0.694182841529808,0.005816345031657307,3023.038137634304,1.4231452481068073e-05,1601094.3587305413
25498052174.658733,0.1261845939942887,2769.695131192924,5.2360549579257585,0.693934432216069,0.0060646436936151425,3023.1931393500286,1.422742484372514e-05,1600580.358454031
26544231114.47845,0.12619505103542283,2769.8548559885717,5.235982980088343,0.6936844749903178,0.0063144796048310615,3023.3460013278986,1.4223459398590682e-05,1600070.4724667722
27602652528.753624,0.1262057315135547,2770.0133577398574,5.235909470447483,0.6934315126004253,0.0065673085365034,3023.4980255943165,1.4219520230687371e-05,1599560.6327036298
28673018571.04674,0.1262166075598717,2770.1725441818735,5.235834621178268,0.6931756149659979,0.006823059720551585,3023.6508255178733,1.4215556400902726e-05,1599046.5063940797
29748389277.792988,0.12622758321587468,2770.332648613861,5.235759092930606,0.6929184402915328,0.0070800751119381835,3023.804485903787,1.4211561724148314e-05,1598528.7289192034
30288688869.222153,0.1262331160132892,2770.41304876826,5.235721021842404,0.6927892025579571,0.007209228853618947,3023.8816540578073,1.4209553106364738e-05,1598268.3851670187
30828988460.651318,0.12623521059273946,2770.704586472764,5.235706609511014,0.6926599303723289,0.007338413763987536,3024.1380767403775,1.4202067929585075e-05,1597540.351671421
31499989533.43556,0.12623582674082753,2771.089110973196,5.235702369979738,0.6924993129544333,0.007498917820211821,3024.4759584566377,1.4192510741036189e-05,1596621.6032011863
32179823578.074257,0.1262367404785768,2771.4538142163183,5.235696082860836,0.6923365020985167,0.0076616083286974055,3024.7971931751663,1.4183503383651482e-05,1595748.9703416536
32878638584.25755,0.1262382371875867,2771.8045086314696,5.235685784613144,0.6921690665395617,0.007828914242751563,3025.10682887114,1.4174847084772688e-05,1594902.6171997031
33596533132.968113,0.12624024346884047,2772.146818102189,5.235671980397032,0.6919969801488138,0.008000861014264872,3025.409638665424,1.4166392405703015e-05,1594069.692198375
34330364041.50829,0.12624274014164033,2772.4786001304897,5.235654802348759,0.6918209943491582,0.008176697181731623,3025.7037555822108,1.4158196551259293e-05,1593255.676335703
35081266602.54167,0.12624571892829245,2772.8011070071625,5.235634307620238,0.6916408351607599,0.008356695823352892,3025.990262697078,1.415022725159241e-05,1592457.6462917435
35849049183.11152,0.1262491510615241,2773.11591263573,5.235610694363876,0.6914565466160862,0.008540812226899966,3026.2704937142857,1.4142443548411375e-05,1591672.1454868817
36632642952.95219,0.12625302157004822,2773.4227644364873,5.235584065832695,0.691268383510001,0.008728791097274853,3026.5442182796182,1.4134852495784702e-05,1590899.9860183916
37432297956.862526,0.12625732798048375,2773.7218112223927,5.235554439319683,0.6910762842258641,0.008920693220757357,3026.8115681125505,1.4127450546088609e-05,1590140.8462337293
38248679344.41341,0.12626206820170527,2774.0136294684767,5.235521829517016,0.6908800873664027,0.009116678998501146,3027.0730443830635,1.4120222820438204e-05,1589393.3577416497
39081706900.978325,0.1262672398974955,2774.2983082642186,5.235486252831507,0.6906798106082774,0.009316729887353648,3027.3287218452397,1.4113166672543409e-05,1588657.3134279281
39931767191.03449,0.12627282917053892,2774.577133524653,5.235447805222777,0.6904753593134794,0.009520939475746308,3027.5796984857257,1.4106248374794646e-05,1587929.763162949
40798065816.23361,0.1262788328058748,2774.849310721361,5.235406509185716,0.6902669230326349,0.009729117454420393,3027.8252884128556,1.4099489160949305e-05,1587212.6867911445
41681850920.23947,0.12628526266645979,2775.115245064429,5.235362283533343,0.6900542000135969,0.009941564147741685,3028.065856219856,1.4092878039580213e-05,1586504.9334914596
42583608417.96436,0.1262921169426273,2775.37555336145,5.235315141159432,0.6898370717064215,0.010158396803619366,3028.3019335373046,1.408639861070125e-05,1585805.017549241
43503279178.6935,0.12629939082527034,2775.630459938572,5.235265115612291,0.6896155507668177,0.01037960156354609,3028.533710281442,1.4080044979448587e-05,1585112.4520647298
44441188148.70955,0.12630708562673781,2775.880133184969,5.23521219836544,0.6893895574110825,0.01060525680125557,3028.7613352038484,1.4073812697394953e-05,1584426.8091326319
45397786647.5087,0.12631518974772307,2776.125721709889,5.235156469708565,0.6891589812812698,0.010835471320671296,3028.9857908780778,1.4067671947272112e-05,1583745.4644954784
46371419101.96639,0.12632366823131233,2776.367713890715,5.2350981705432105,0.6889242198383801,0.011069846860488184,3029.2074658469983,1.406161097825953e-05,1583067.717777812
47362238211.43727,0.12633253329576882,2776.605470616255,5.235037217381508,0.68868523496728,0.011308420006967926,3029.4258205120764,1.405564609298042e-05,1582394.9428029074
48372748874.20139,0.1263416578927378,2776.849007070828,5.234974484229438,0.6884414200225087,0.011551794722786004,3029.6493972635244,1.404952042456412e-05,1581704.7548530838
49375862765.86588,0.12635078569098823,2777.0876460513578,5.234911733600926,0.6881993102778381,0.011793446727732585,3029.868698769792,1.4043519615336147e-05,1581026.4140189625
50402505831.63502,0.12636040998834014,2777.320952934655,5.234845574613028,0.6879514425554784,0.012040823826394487,3030.0838535788666,1.4037641554898543e-05,1580354.2428906215
51452756503.832825,0.12637047854299757,2777.552660728681,5.234776367121119,0.6876977956966859,0.012293944958572844,3030.2980303781155,1.403178925540861e-05,1579679.907156849
52522259191.38804,0.1263809425413771,2777.781884092742,5.234704447339415,0.6874394198337351,0.012551760039601732,3030.5104067457555,1.4025986134087187e-05,1579006.1632949817
53611010320.348526,0.12639178517931354,2778.0095089667066,5.23462993142355,0.6871763142790509,0.012814267639946426,3030.721735441521,1.4020209964444205e-05,1578331.1275637997
54721268790.05153,0.12640312003965842,2778.231262731047,5.2345520395483165,0.6869079324411913,0.013082010780785806,3030.9284246453285,1.4014567176409774e-05,1577663.4625593277
55861837214.99428,0.1264150069366165,2778.4519624937516,5.2344703616429955,0.6866321444952268,0.013357111263732192,3031.1347055761526,1.4008931107506356e-05,1576990.784196983
57028802817.638794,0.12642746436886412,2778.667657507444,5.234384771685576,0.6863498949851115,0.013638623648605644,3031.337158591104,1.4003401116577519e-05,1576322.2140477211
58227078035.663216,0.12644045944112986,2778.8843830553633,5.234295496808844,0.6860599936164046,0.013927731547805132,3031.5409888547338,1.3997823525686882e-05,1575643.8063620692
59441657495.962265,0.1264534419224931,2779.118734207062,5.234206317591915,0.6857660649014309,0.014220817196279753,3031.760050383025,1.3991790434262159e-05,1574923.566805372
60643206073.263466,0.1264665008592225,2779.3419174496,5.234116622424286,0.68547521026943,0.0145107985111579,3031.9694106205948,1.3986032028123177e-05,1574228.733237728
61876786527.24383,0.1264801226490728,2779.565993044202,5.234023071174788,0.6851765227219975,0.014808547267324203,3032.1800409680513,1.3980227407232148e-05,1573524.012452627
63133168469.05237,0.12649424337816403,2779.7862937391865,5.233926103963012,0.6848722359195658,0.015111832839977104,3032.3878296340563,1.397449814822825e-05,1572821.4150951852
64433037381.7623,0.12650916095758372,2780.0042686770144,5.233823676528095,0.684557338903017,0.015425644541415639,3032.5943428053056,1.3968799565429727e-05,1572113.4848690734
65779527883.44981,0.12652491271488145,2780.221002392796,5.233715534550468,0.6842310697891082,0.01575073487271077,3032.8005511846864,1.3963101738893079e-05,1571397.0949180115
67175219756.72669,0.1265415286937541,2780.4375237300355,5.233601473943996,0.6838928008485546,0.016087721655593232,3033.0073691616735,1.3957376352412338e-05,1570669.3527345553
68622770694.9082,0.12655903466229146,2780.6551610895353,5.2334813201924995,0.6835418852198814,0.016437240694537,3033.215966866565,1.395158763468632e-05,1569926.7194526077
70124354017.80753,0.126577459694413,2780.8747397147026,5.233354876317803,0.683177793399421,0.01679980973826222,3033.4270789352436,1.3945712332875705e-05,1569166.8008177907
71676003645.17259,0.12659674571390941,2781.096996150575,5.233222543533776,0.6828014849361961,0.017174463041295062,3033.64126329905,1.3939730471842453e-05,1568388.531455853
73203887045.83168,0.12661593684143777,2781.3135614844114,5.233090881869456,0.6824308698746673,0.01754336572857565,3033.850201806467,1.3933871107891143e-05,1567624.2116373559
74708770782.83998,0.12663501548566142,2781.52547179236,5.2329600116816355,0.6820657699625967,0.01790669652108542,3034.0547882240207,1.392810984923399e-05,1566871.676902213
76191672694.09187,0.12665397081086835,2781.733797906273,5.23283000692658,0.681705945014187,0.018264695713979005,3034.255949279848,1.3922420743856039e-05,1566128.5697394842
77653558573.99104,0.1266727809932367,2781.9399074778244,5.232701016863541,0.6813511666532335,0.01861759175662034,3034.454864101072,1.391677141836435e-05,1565392.018642404
79095275012.3801,0.12669141888565819,2782.1464154857667,5.232573227162369,0.6810012341819139,0.018965585473942635,3034.6537651109147,1.3911094878564575e-05,1564656.1369607754
80517532586.61739,0.12670992302662026,2782.351305531444,5.232446373117069,0.6806559796624343,0.01930884504515585,3034.850952846616,1.3905442848600503e-05,1563925.240862187
81921227552.19139,0.1267283095778672,2782.5537799772264,5.232320343548764,0.6803151901478283,0.019647583324389827,3035.045766614831,1.3899837110325289e-05,1563201.0808909843
83307222608.95561,0.12674660624622935,2782.7534419896024,5.232194948227576,0.6799786613972811,0.019982004413720597,3035.237881256224,1.3894285774257653e-05,1562484.1592082167
84676025862.30757,0.12676473496302368,2782.954409200694,5.23207072180609,0.6796462734150016,0.020312228611764873,3035.430804138777,1.3888688152445112e-05,1561765.8708649203
86028196370.71744,0.12678269848993168,2783.1564512639816,5.231947644865125,0.6793178933391325,0.02063838895850174,3035.6243505999096,1.388305171642635e-05,1561046.798664384
87364372363.25116,0.12680144932428883,2783.3079796198263,5.2318191922946085,0.6789933808958623,0.020960625919086272,3035.774713968929,1.387865819268918e-05,1560435.8284735281
88687588919.71814,0.12682020145364567,2783.460955641165,5.231690749848257,0.6786720073266065,0.021279663938593797,3035.9260492191593,1.3874192147106731e-05,1559820.0093184991
89996031970.04173,0.1268388163962331,2783.614750694473,5.231563265843474,0.6783542155668983,0.021595064077689193,3036.0778194020345,1.3869692862044428e-05,1559203.572636178
91290200306.27725,0.126857337340543,2783.7668440093344,5.231436444150527,0.6780398871517924,0.021906944849470998,3036.2278936749863,1.3865224747041405e-05,1558591.9558670893
92570684288.01,0.12687585984346084,2783.9123237169533,5.231309630301779,0.6777288826500026,0.02221544552022733,3036.3721100324487,1.3860910046018184e-05,1557995.4625632435
93820428678.60205,0.12689406234971082,2784.0539251186497,5.231185025337307,0.6774253476444282,0.022516456747577858,3036.5125137894947,1.3856688082040504e-05,1557411.9377932877
95038472349.6787,0.12691193367359446,2784.1903811854213,5.231062704864483,0.6771295180547483,0.022809748993236404,3036.648016853952,1.3852594141240174e-05,1556844.6327626586
96223816927.50896,0.12692945500043895,2784.3216627569655,5.230942796671165,0.676841638722576,0.023095084195883363,3036.778578482235,1.3848629860570845e-05,1556293.8707484691
97382517446.58894,0.1269466885439961,2784.449280763995,5.230824874084545,0.6765602407511808,0.023373922413065146,3036.905581589146,1.3844756261087506e-05,1555755.2950710985
98514976750.42383,0.126963645857263,2784.572834656832,5.230708857261393,0.6762852279228214,0.023646362667483906,3037.0286926316276,1.3840983389917237e-05,1555229.6927509664
99623524756.46793,0.12698036495197396,2784.691896832077,5.230594485427023,0.6760160359561556,0.02391296740969028,3037.1475875001665,1.3837322011846322e-05,1554717.5949533328
100708258101.20042,0.12699684904961892,2784.8062155817374,5.2304817359005025,0.6757526428566965,0.02417376172903428,3037.262054277874,1.383377874181599e-05,1554219.5547941518
101770740617.61699,0.12701310736257856,2784.9165140211444,5.230370545052509,0.6754946700995348,0.024429123587431125,3037.3727328727714,1.3830335345433888e-05,1553733.753619946
102813438776.6146,0.1270291700500178,2785.0232756364144,5.230260706066656,0.6752415198046177,0.024679647637186948,3037.480073902915,1.3826978744682044e-05,1553258.642795045
103837667666.74617,0.12704505470773322,2785.126565942566,5.230152098131974,0.6749928735920462,0.024925651486003834,3037.5841546613933,1.3823707067876296e-05,1552793.8378594732
104844427809.62846,0.12706072822081405,2785.2295021764867,5.230044947162433,0.6747484890688652,0.02516737730518126,3037.6876373425152,1.3820441208981656e-05,1552332.4004382126
105843245103.78601,0.12707598159783923,2785.3524698417405,5.229940681116255,0.6745060506550491,0.025407116706815717,3037.8079905364607,1.3816670738521061e-05,1551829.2313217472
106856164689.0088,0.1270915116382908,2785.4745713602492,5.229834536765624,0.6742602077475719,0.025650158864118637,3037.927830167062,1.3812910025256764e-05,1551324.3361502832
107851640059.48212,0.12710686607826768,2785.593817322419,5.229729605355398,0.674018618352052,0.025888932918943074,3038.0449498136895,1.3809219210605323e-05,1550828.2960309829
108832932128.18048,0.1271220878500565,2785.7106631651914,5.229625593103474,0.6737804916589498,0.02612422252826081,3038.1597893856824,1.3805585691125476e-05,1550339.4679507597
109799648733.95915,0.12713717640730476,2785.8246795047016,5.229522503413828,0.6735459234963992,0.02635593488842583,3038.2719780756247,1.3802020580705237e-05,1549858.8718409806
110752511792.96461,0.12715213446128695,2785.9362963020913,5.229420317438495,0.6733147392359836,0.026584244365142583,3038.38189291044,1.3798513055432964e-05,1549385.4630084636
111692721296.86201,0.1271669763126058,2786.0456670643503,5.229318937182537,0.6730866482035716,0.026809439719101314,3038.4896841190252,1.3795059126354158e-05,1548918.6989877124
112620659103.87761,0.12718170582210714,2786.152832246723,5.229218335997564,0.6728615582065606,0.027031613563790732,3038.5953924790797,1.3791657854026454e-05,1548458.4374726177
113536907763.37175,0.1271963309095415,2786.2577270902907,5.2291184595324625,0.6726393283450227,0.027250906496136675,3038.6989728999088,1.378831100917699e-05,1548004.7362936148
114441553616.1703,0.1272108596138144,2786.3597564319903,5.2290192526493735,0.6724199381598254,0.027467340198580215,3038.79992202292,1.3785033969501387e-05,1547558.90367648
115334549073.99564,0.12722528804362668,2786.4590576627347,5.22892074168677,0.6722033996193233,0.02768090437983986,3038.89835579519,1.3781823419642886e-05,1547120.666779791
116216535027.82002,0.12723962150210402,2786.5558367105855,5.2288228902079,0.6719895576716676,0.027891753432130174,3038.9944597098724,1.3778674160882171e-05,1546689.474942118
117088124520.75519,0.12725386487928247,2786.650283473898,5.228725664613537,0.6717782639888289,0.02810003497963473,3039.0884052587267,1.3775581457545047e-05,1546264.8231402824
117949771018.8229,0.1272680230960632,2786.7424714398035,5.2286290311101995,0.6715694089222475,0.028305858401264473,3039.1802623581416,1.3772543434064267e-05,1545846.4752364308
118801896433.27414,0.12728209952529448,2786.8326054501126,5.22853296648476,0.6713628904416958,0.02850932547578299,3039.270211702815,1.3769554742671878e-05,1545433.8995945218
119645036138.12871,0.12729609469994724,2786.9209164398603,5.2284374669130145,0.671158578997038,0.02871056499381028,3039.358458928664,1.3766610128306381e-05,1545026.5722305374
120479702642.33629,0.12731001617421392,2787.0070482518386,5.2283424806703165,0.6709563506597941,0.02890970009489208,3039.444711308226,1.3763719431389788e-05,1544625.2706020218
121305876944.46501,0.1273238521055126,2787.0925535096344,5.228248088378175,0.6707562100543482,0.029106727273251174,3039.530283699158,1.3760841255893987e-05,1544226.40329102
122125293470.71844,0.12733762558444564,2787.1775098820353,5.228154132339636,0.6705577369995718,0.02930206104415861,3039.6152709282233,1.3757973514247992e-05,1543829.5038213448
