age_yr,step_yr,R_Rsun,L_Lsun,Teff_K,central_X,central_Y3,step_error_norm,discrete_luminosity_balance,nuclear_rest_mass_balance,last_halfstep_coupling_iterations,convective_mass_fraction,central_T_K,central_rho,surface_X,surface_Y3
0,0,0.12590233386790187,0.0008377677449373143,2767.518922150534,0.7,0,0,0,0,0,1.0000000000000007,4629944.274358928,382.1149443418711,0.7,0
100000000,100000000,0.12590268469260915,0.0008377764949678032,2767.522292607239,0.699976275127249,2.3724872687967858e-05,0.0202574384822185,1.0499191072099734e-08,-2.5777971979223935e-09,2,1.0000000000000007,4630049.796594026,382.1120552658043,0.699976275127249,2.3724872687967858e-05
300000000,200000000,0.12590425835245003,0.0008378120748496292,2767.534380229852,0.6999288215674292,7.117843052364754e-05,0.020576991559551058,6.661338147750939e-16,-1.3830414924420609e-08,2,1.0000000000000007,4630247.293956873,382.09838927262984,0.6999288215674292,7.117843052364754e-05
700000000,400000000,0.12590833531420587,0.0008379026272926572,2767.564348890577,0.6998339034192979,0.00016609655633148803,0.02760579209670766,3.0233593406592263e-12,-2.9692137637482574e-11,3,1.0000000000000007,4630627.873050156,382.06265703093965,0.6998339034192979,0.00016609655633148803
1500000000,800000000,0.12591698133761162,0.0008380945557614751,2767.6277948590014,0.6996440283939946,0.000355971373290314,0.10836285868620621,-1.2271184068879393e-11,-1.9229617898020024e-11,3,1.0000000000000007,4631381.621231472,381.98678705633995,0.6996440283939946,0.000355971373290314
3100000000,1600000000,0.1259333178460006,0.000838537666985982,2767.813999631194,0.699264112150697,0.0007358858140135607,0.49779293798124513,-2.384833441837486e-10,3.915978652457852e-12,3,1.0000000000000007,4632906.6817209525,381.84477441189506,0.699264112150697,0.0007358858140135607
5140977074.726472,2040977074.7264714,0.12595395596898215,0.0008391086346736079,2768.0582293326547,0.6987791835467803,0.0012208076631228986,0.795692255417535,-5.439892980518835e-10,6.389999640532551e-12,3,1.0000000000000007,4634857.699055951,381.66602891452254,0.6987791835467803,0.0012208076631228986
7200222313.208641,2059245238.4821696,0.12597497586382195,0.0008396840063230371,2768.301632380558,0.6982895938203001,0.0017103831402485456,0.7968337445429796,-5.537160729929269e-10,-4.9428239279336594e-12,3,1.0000000000000007,4636825.21065859,381.48420592982023,0.6982895938203001,0.0017103831402485456
9276410526.464048,2076188213.255406,0.12599624593021852,0.0008402698195608851,2768.5506227198866,0.6977956534990438,0.0022042986321528114,0.8061626721733717,-5.663031155123122e-10,-9.296008407488898e-12,3,1.0000000000000007,4638809.9766483335,381.30057625110425,0.6977956534990438,0.0022042986321528114
11357534193.098988,2081123666.6349406,0.12601771994008662,0.0008408578917358057,2768.798957563859,0.6973002185307755,0.0026996951601430466,0.7941104951392219,-5.629705590592948e-10,-1.6564527527407336e-13,3,1.0000000000000007,4640799.08096214,381.1153751515432,0.6973002185307755,0.0026996951601430466
13459375532.69117,2101841339.5921805,0.1260395652686039,0.0008414542091143018,2769.0497207455587,0.6967995306219972,0.0032003272605915186,0.7986428451900451,-5.757436749576073e-10,-1.070921129553426e-12,3,1.0000000000000007,4642807.664685881,380.9272378389142,0.6967995306219972,0.0032003272605915186
15576108804.986517,2116733272.2953484,0.1260617576435854,0.0008420549785998319,2769.300049069731,0.6962949742022613,0.0037048068852996727,0.7826604253580172,-5.651061840694638e-10,-1.2984058272991206e-12,3,1.0000000000000007,4644829.655892017,380.7363853726023,0.6962949742022613,0.0037048068852996727
17729495168.591198,2153386363.6046824,0.1260855926477969,0.0008426159467654327,2769.4993457069577,0.6957813790850755,0.004218299031157434,0.728395044280461,-5.753397758212486e-10,1.4854784069484595e-12,3,1.0000000000000007,4646866.717040991,380.53002201666857,0.6957813790850755,0.004218299031157434
20000306103.137703,2270810934.546504,0.12611150936558294,0.0008431854031162868,2769.6825100717274,0.6952394702058996,0.004760067741730968,0.7356689035731279,-6.542072439330582e-10,-7.190581463589751e-12,3,1.0000000000000007,4649003.570478879,380.3051851909763,0.6952394702058996,0.004760067741730968
22383076998.67494,2382770895.537234,0.12613917046645173,0.0008437775722332794,2769.8649168077463,0.6946705256576278,0.0053288254292033835,0.794094717759819,-7.562114268111486e-10,-9.146128299164502e-12,3,1.0000000000000007,4651240.006677848,380.06519420596715,0.6946705256576278,0.0053288254292033835
24789592384.353,2406515385.678064,0.12616745370662,0.0008443702761751706,2770.0406700689223,0.6940955952320869,0.005903520736952586,0.7571696281072349,-7.561107295828151e-10,-5.7628346539218e-12,3,1.0000000000000007,4653494.658004739,379.8197364738974,0.6940955952320869,0.005903520736952586
27278647764.48111,2489055380.128113,0.1261971263805585,0.0008449786136659951,2770.2137262372557,0.6935006283491151,0.006498188990447517,0.7895745390840148,-8.31628987896238e-10,1.5398793351550921e-12,3,1.0000000000000007,4655821.2602648875,379.56207460715626,0.6935006283491151,0.006498188990447517
29799692204.011784,2521044439.5306706,0.12622727369939196,0.0008456033378069866,2770.3947238718483,0.692897696055185,0.007100755018498218,0.7938540225183033,-8.556606534426692e-10,1.972644270153978e-12,3,1.0000000000000007,4658177.8152247425,379.30038634117227,0.692897696055185,0.007100755018498218
32346245007.4449,2546552803.43312,0.12625764274940943,0.0008462559857421028,2770.5958570084417,0.6922883396017121,0.007709669277388841,0.822466564853741,-8.858183075943771e-10,-9.99733629214461e-12,3,1.0000000000000007,4660562.842864451,379.03792258074253,0.6922883396017121,0.007709669277388841
