10 52 19 OPAL GS98 Z=0.020; original cells, logT=4.0..7.1
-8.0 -7.5 -7.0 -6.5 -6.0 -5.5 -5.0 -4.5 -4.0 -3.5 -3.0 -2.5 -2.0 -1.5 -1.0 -0.5 0.0 0.5 1.0
4.00 4.05 4.10 4.15 4.20 4.25 4.30 4.35 4.40 4.45 4.50 4.55 4.60 4.65 4.70 4.75 4.80 4.85 4.90 4.95 5.00 5.05 5.10 5.15 5.20 5.25 5.30 5.35 5.40 5.45 5.50 5.55 5.60 5.65 5.70 5.75 5.80 5.85 5.90 5.95 6.00 6.10 6.20 6.30 6.40 6.50 6.60 6.70 6.80 6.90 7.00 7.10
0.0000 0.0200
-1.067 -1.201 -1.357 -1.541 -1.734 -1.933 -2.122 -2.296 -2.448 -2.551 -2.593 -2.518 -2.318 -2.014 -1.664 -1.300 -0.938 -0.582 -0.225
-0.989 -0.990 -1.025 -1.097 -1.209 -1.351 -1.497 -1.631 -1.751 -1.832 -1.880 -1.859 -1.766 -1.586 -1.323 -0.993 -0.635 -0.276 0.082
-0.961 -0.956 -0.951 -0.948 -0.952 -0.969 -0.998 -1.032 -1.058 -1.068 -1.060 -1.024 -0.962 -0.860 -0.713 -0.510 -0.251 0.063 0.412
-0.955 -0.940 -0.925 -0.909 -0.884 -0.836 -0.749 -0.635 -0.520 -0.423 -0.340 -0.261 -0.183 -0.088 0.023 0.166 0.347 0.574 0.846
-0.960 -0.947 -0.929 -0.903 -0.867 -0.808 -0.696 -0.509 -0.267 -0.027 0.176 0.329 0.457 0.577 0.701 0.839 0.994 1.164 1.352
-0.954 -0.946 -0.931 -0.907 -0.868 -0.801 -0.681 -0.491 -0.221 0.105 0.428 0.704 0.918 1.091 1.253 1.412 1.558 1.706 1.878
-0.934 -0.930 -0.919 -0.902 -0.871 -0.813 -0.698 -0.503 -0.235 0.101 0.484 0.860 1.184 1.443 1.643 1.821 1.986 2.145 2.301
-0.862 -0.886 -0.890 -0.880 -0.856 -0.807 -0.709 -0.534 -0.271 0.074 0.473 0.893 1.301 1.654 1.933 2.139 2.323 2.487 2.629
-0.693 -0.739 -0.783 -0.810 -0.808 -0.775 -0.697 -0.552 -0.317 0.014 0.417 0.862 1.322 1.750 2.107 2.389 2.610 2.774 2.921
-0.648 -0.642 -0.643 -0.655 -0.669 -0.658 -0.604 -0.483 -0.281 0.013 0.397 0.846 1.321 1.785 2.205 2.556 2.834 3.046 3.212
-0.635 -0.623 -0.604 -0.572 -0.523 -0.465 -0.394 -0.294 -0.134 0.104 0.428 0.838 1.306 1.794 2.261 2.667 3.003 3.272 3.461
-0.631 -0.614 -0.591 -0.554 -0.484 -0.359 -0.192 -0.018 0.163 0.370 0.622 0.949 1.354 1.818 2.297 2.748 3.137 3.442 3.666
-0.634 -0.618 -0.593 -0.552 -0.480 -0.347 -0.130 0.156 0.451 0.706 0.945 1.208 1.520 1.904 2.349 2.813 3.237 3.578 3.837
-0.628 -0.614 -0.593 -0.557 -0.488 -0.360 -0.143 0.173 0.566 0.951 1.273 1.539 1.798 2.099 2.473 2.907 3.329 3.692 3.985
-0.627 -0.611 -0.588 -0.555 -0.496 -0.379 -0.177 0.126 0.520 0.977 1.427 1.801 2.097 2.365 2.671 3.038 3.436 3.809 4.120
-0.625 -0.611 -0.581 -0.552 -0.497 -0.394 -0.213 0.069 0.440 0.888 1.385 1.875 2.290 2.618 2.917 3.233 3.578 3.930 4.247
-0.628 -0.607 -0.583 -0.551 -0.497 -0.398 -0.231 0.030 0.379 0.802 1.282 1.802 2.315 2.755 3.112 3.428 3.742 4.066 4.376
-0.626 -0.609 -0.584 -0.550 -0.497 -0.405 -0.247 0.003 0.336 0.737 1.197 1.703 2.240 2.758 3.202 3.572 3.897 4.208 4.503
-0.614 -0.598 -0.575 -0.542 -0.488 -0.398 -0.248 -0.013 0.310 0.701 1.144 1.640 2.172 2.709 3.210 3.644 4.009 4.330 4.615
-0.587 -0.571 -0.549 -0.517 -0.468 -0.383 -0.238 -0.011 0.303 0.694 1.132 1.615 2.135 2.668 3.192 3.668 4.077 4.421 4.712
-0.530 -0.522 -0.507 -0.478 -0.430 -0.350 -0.216 0.000 0.311 0.703 1.141 1.616 2.133 2.654 3.185 3.682 4.118 4.480 4.766
-0.447 -0.434 -0.419 -0.397 -0.355 -0.278 -0.147 0.057 0.356 0.740 1.173 1.649 2.162 2.672 3.198 3.700 4.146 4.512 4.785
-0.366 -0.343 -0.321 -0.289 -0.244 -0.172 -0.048 0.140 0.406 0.765 1.198 1.680 2.178 2.701 3.227 3.723 4.160 4.510 4.763
-0.329 -0.284 -0.238 -0.189 -0.127 -0.038 0.093 0.272 0.519 0.852 1.262 1.732 2.220 2.739 3.254 3.731 4.145 4.467 4.695
-0.343 -0.287 -0.221 -0.146 -0.055 0.062 0.219 0.419 0.665 0.977 1.357 1.807 2.280 2.775 3.261 3.702 4.083 4.376 4.589
-0.410 -0.344 -0.267 -0.173 -0.057 0.090 0.278 0.506 0.766 1.063 1.431 1.860 2.314 2.782 3.227 3.624 3.973 4.244 4.458
-0.493 -0.425 -0.344 -0.245 -0.117 0.053 0.270 0.529 0.817 1.132 1.490 1.893 2.322 2.753 3.152 3.509 3.830 4.091 4.309
-0.576 -0.521 -0.447 -0.350 -0.223 -0.050 0.185 0.473 0.794 1.133 1.496 1.888 2.289 2.689 3.049 3.373 3.675 3.933 4.158
-0.636 -0.597 -0.538 -0.456 -0.341 -0.180 0.053 0.364 0.720 1.090 1.467 1.848 2.230 2.604 2.933 3.233 3.519 3.779 4.009
-0.671 -0.649 -0.609 -0.543 -0.442 -0.292 -0.066 0.251 0.630 1.024 1.414 1.792 2.161 2.510 2.815 3.098 3.370 3.635 3.864
-0.685 -0.675 -0.652 -0.608 -0.530 -0.399 -0.189 0.123 0.514 0.933 1.344 1.730 2.087 2.417 2.702 2.970 3.234 3.501 3.730
-0.690 -0.686 -0.674 -0.649 -0.594 -0.487 -0.299 -0.001 0.402 0.843 1.274 1.663 2.012 2.327 2.598 2.854 3.110 3.378 3.603
-0.693 -0.690 -0.683 -0.668 -0.633 -0.557 -0.399 -0.118 0.283 0.744 1.195 1.595 1.941 2.244 2.503 2.749 3.001 3.265 3.485
-0.693 -0.691 -0.686 -0.675 -0.653 -0.603 -0.486 -0.246 0.140 0.613 1.094 1.518 1.872 2.168 2.420 2.657 2.904 3.160 3.377
-0.695 -0.692 -0.687 -0.679 -0.661 -0.623 -0.535 -0.348 -0.001 0.473 0.979 1.435 1.800 2.099 2.347 2.577 2.821 3.068 3.278
-0.695 -0.693 -0.688 -0.680 -0.665 -0.634 -0.564 -0.417 -0.126 0.331 0.858 1.340 1.727 2.031 2.279 2.506 2.745 2.982 3.180
-0.695 -0.693 -0.689 -0.681 -0.667 -0.639 -0.580 -0.455 -0.211 0.203 0.732 1.237 1.646 1.961 2.214 2.441 2.676 2.904 3.087
