pulse_years,Teff_K,radius_cm,photon_luminosity_erg_s,nuclear_power_erg_s,logg,run
1222256.4364848863,6395.97953497287,11590276161.185122,1.6019074847067534e+32,6.154567412339164e+31,4.99472406599979,34
1228656.4364848863,6395.7309484048765,11560928826.63497,1.5935577214581329e+32,6.122671444332381e+31,4.9969261789848005,34
1235056.4364848863,6395.472449272591,11531854277.172424,1.5852962115949227e+32,6.091011679995703e+31,4.999113342482687,34
1241456.4364848863,6395.203813669023,11503048613.269205,1.5771212034220029e+32,6.059586853030067e+31,5.001285723666386,34
1247856.4364848863,6394.926093893714,11474509672.02085,1.5690326907600694e+32,6.028395697325203e+31,5.003443361292282,34
1254256.4364848863,6394.639717327357,11446234123.837387,1.5610297264407241e+32,5.997436931843667e+31,5.005586384378712,34
1260656.4364848863,6394.34426205555,11418217966.364412,1.5531103586929848e+32,5.966709238393228e+31,5.007714975719707,34
1267056.4364848863,6394.040221278526,11390457835.143068,1.5452737155155664e+32,5.936211288723741e+31,5.009829272553797,34
1273456.4364848863,6393.741430891577,11362986532.124975,1.5375415488851797e+32,5.905942111351799e+31,5.011926650149193,34
1279856.4364848863,6393.436510666335,11335763080.581326,1.5298912083721794e+32,5.875900341604836e+31,5.014010113010235,34
1286256.4364848863,6393.121791253645,11308773822.158882,1.5223150779042746e+32,5.846084519299975e+31,5.016080597666924,34
1292656.4364848863,6392.797334426917,11282017663.47096,1.5148125607335767e+32,5.816493185262169e+31,5.018138083349244,34
1299056.4364848863,6392.463695693941,11255492794.298143,1.5073833370693965e+32,5.787124879501276e+31,5.020182605463666,34
1305456.4364848863,6392.121429151641,11229198355.033924,1.5000273359969448e+32,5.757978137420777e+31,5.022214127267915,34
1311856.4364848863,6391.771362163324,11203133481.547918,1.4927447345479811e+32,5.729051494973196e+31,5.024232613068358,34
1318256.4364848863,6391.413787358226,11177295472.076365,1.4855347133934526e+32,5.700343474833482e+31,5.02623817068221,34
1324656.4364848863,6391.048400325679,11151681549.954445,1.4783958848843635e+32,5.671852579493216e+31,5.0282309157875025,34
1331056.4364848863,6390.675218276382,11126289454.049576,1.4713273085473056e+32,5.643577302865329e+31,5.030210925889651,34
1337456.4364848863,6390.294849011318,11101116549.53579,1.4643284941270026e+32,5.6155161680341295e+31,5.032178309433375,34
1343856.4364848863,6389.907286022241,11076160264.562431,1.4573984057627834e+32,5.587667743238365e+31,5.03413317188444,34
1350256.4364848863,6389.5127663049025,11051417798.861208,1.4505361774350493e+32,5.560030536624334e+31,5.036075638569287,34
1356656.4364848863,6389.1114626448525,11026886395.324074,1.4437409014768747e+32,5.532603032889059e+31,5.038005833475581,34
1363056.4364848863,6388.703386352697,11002563270.360123,1.4370115240613074e+32,5.505383725598178e+31,5.039923884703794,34
1369456.4364848863,6388.288810443914,10978445493.952427,1.4303471963251896e+32,5.478371120165206e+31,5.041829933971167,34
1375856.4364848863,6387.867925248523,10954531301.672808,1.42374730341264e+32,5.451563718644012e+31,5.0437240326990525,34
1382256.4364848863,6387.44104466071,10930818488.99841,1.4172112291441957e+32,5.424960028107852e+31,5.045606268591721,34
1388656.4364848863,6387.00972964468,10907308087.049358,1.4107402984009727e+32,5.398558591543815e+31,5.047476473298692,34
1395056.4364848863,6386.58370440849,10884018842.437738,1.404347562234887e+32,5.3723581637773035e+31,5.049333064098536,34
1401456.4364848863,6386.151050474231,10860915387.649233,1.3980129930799823e+32,5.346357188191279e+31,5.051178773374437,34
1407856.4364848863,6385.711415489212,10837994723.325972,1.3917352356850454e+32,5.320554117657356e+31,5.053013763553855,34
1414256.4364848863,6385.265168584043,10815255875.83928,1.3855140940535409e+32,5.294947415954128e+31,5.054838036463497,34
1420656.4364848863,6384.812613911912,10792697922.900368,1.3793493270783807e+32,5.2695355546886635e+31,5.056651590515808,34
1427056.4364848863,6384.354081285258,10770319625.346882,1.3732406338019052e+32,5.244317012019847e+31,5.0584544503631035,34
1433456.4364848863,6383.889664169395,10748119504.01488,1.3671874490795617e+32,5.219290267044891e+31,5.060246660951382,34
1439856.4364848863,6383.419182595669,10726095705.63256,1.3611888830702427e+32,5.194453794934885e+31,5.0620282985792375,34
1446256.4364848863,6382.942852119256,10704246573.764606,1.3552444400497928e+32,5.16980607505293e+31,5.063799424876472,34
1452656.4364848863,6382.461410304831,10682570721.230938,1.3493541357971004e+32,5.145345597983569e+31,5.065560080749549,34
1459056.4364848863,6381.974779085295,10661066164.514982,1.3435171428945347e+32,5.121070853483406e+31,5.067310356680073,34
1465456.4364848863,6381.483529300297,10639731588.310549,1.337733353199495e+32,5.096980344925051e+31,5.069050289977435,34
1468256.4364848863,6381.265700436998,10630417032.393826,1.335209817867394e+32,5.086511025045733e+31,5.069811029465765,34
1471056.4364848863,6381.046680956852,10621133677.089819,1.3326958256116257e+32,5.076076397070919e+31,5.070569884251213,34
1477456.4364848863,6380.54555578113,10600108814.208645,1.3270078830356735e+32,5.052327128084649e+31,5.072290987042136,35
1483856.4364848863,6380.040021831167,10579248922.206749,1.321371345223402e+32,5.02875775090603e+31,5.074001962234422,35
1490256.4364848863,6379.529967191346,10558551489.033354,1.3157852456136783e+32,5.0053668423974435e+31,5.075702949795021,35
1496656.4364848863,6379.015543713502,10538014118.041153,1.3102488716437475e+32,4.982152965102022e+31,5.0773940818737495,35
1503056.4364848863,6378.496707132498,10517634621.200043,1.3047614066961361e+32,4.959114646420666e+31,5.079075475004014,35
1509456.4364848863,6377.973598939969,10497410961.325321,1.2993222296446194e+32,4.936250433912226e+31,5.080747234708616,35
1515856.4364848863,6377.446298334487,10477341135.298504,1.2939306811215969e+32,4.913558886900529e+31,5.08240946505416,35
1522256.4364848863,6376.9147384929665,10457423310.686798,1.2885860304181044e+32,4.891038571845911e+31,5.084062257270241,35
1528656.4364848863,6376.378694978691,10437655301.227793,1.2832873390457247e+32,4.868688055926751e+31,5.085705733257488,35
1535056.4364848863,6375.838408601888,10418035705.001606,1.2780342428291254e+32,4.846505916434812e+31,5.087339950966062,35
1541456.4364848863,6375.294184945554,10398563059.541676,1.272826415553804e+32,4.824490742361321e+31,5.08896497434931,35
1547856.4364848863,6374.7464131750685,10379236163.735722,1.2676636617214868e+32,4.802641136009652e+31,5.090580846469625,35
1554256.4364848863,6374.2016068131625,10360066862.476141,1.262553816665552e+32,4.780955828354361e+31,5.092186517425732,36
1560656.4364848863,6373.656202905941,10341042679.705038,1.2574907436056927e+32,4.759433467530262e+31,5.093782972902535,36
1567056.4364848863,6373.106423612204,10322153173.247585,1.2524687032166888e+32,4.738072643095681e+31,5.095371035226283,36
1573456.4364848863,6372.552230498031,10303397045.072998,1.2474871683046123e+32,4.716871959797046e+31,5.096950762337019,36
1579856.4364848863,6371.993739734779,10284773572.677391,1.2425458753654139e+32,4.69583003569881e+31,5.0985221644108565,36
1586256.4364848863,6371.431065492149,10266282119.98187,1.237644581111645e+32,4.674945494468445e+31,5.100085244800571,36
1592656.4364848863,6370.864114980622,10247921954.813522,1.2327828597384098e+32,4.654216965766473e+31,5.101640015440351,36
1599056.4364848863,6370.2925869905375,10229692393.794268,1.2279601399034536e+32,4.633643088484903e+31,5.103186484616844,36
1605456.4364848863,6369.7173719540815,10211592152.78226,1.223176627423048e+32,4.613222518070892e+31,5.10472471218355,36
1611856.4364848863,6369.13854497778,10193619914.47349,1.2184318893101467e+32,4.592953917170373e+31,5.106254761646899,36
1618256.4364848863,6368.556034372415,10175774015.866554,1.2137253008859304e+32,4.572835953782009e+31,5.107776726865717,36
1624656.4364848863,6367.970386229836,10158053392.089903,1.2090568540771428e+32,4.55286730716243e+31,5.109290651601284,36
